player_id,name,pos,team,games,ep_std,ppg_std,gap_std,gapc_std,ep_half,ppg_half,gap_half,gapc_half,ep_ppr,ppg_ppr,gap_ppr,gapc_ppr,td_luck_pg,tgt_pg,tgt_share,carry_pg
00-0034613,Tanner Hudson,TE,CIN,10,2.44,2.5,0.06,0.26,3.29,3.45,0.16,0.31,4.14,4.4,0.26,0.39,0.032,2.4,0.06,0.0
00-0034753,Mark Andrews,TE,BAL,17,5.58,4.35,-1.23,-1.03,6.95,5.76,-1.19,-1.04,8.32,7.18,-1.14,-1.01,-0.065,4.12,0.17,0.59
00-0034771,Mason Rudolph,QB,PIT,5,4.19,2.4,-1.79,-0.5,4.19,2.4,-1.79,-0.5,4.19,2.4,-1.79,-0.5,0.014,0.0,0.0,1.4
00-0034775,Christian Kirk,WR,HOU,11,4.38,2.27,-2.11,-1.57,5.98,3.55,-2.43,-1.97,7.58,4.82,-2.76,-2.31,-0.12,4.73,0.15,0.0
00-0034791,Nick Chubb,RB,HOU,15,5.73,4.27,-1.46,-0.71,6.23,4.7,-1.53,-0.88,6.74,5.13,-1.61,-1.0,-0.046,1.33,0.04,8.13
00-0034796,Lamar Jackson,QB,BAL,13,15.93,15.69,-0.24,1.05,15.93,15.69,-0.24,1.05,15.93,15.69,-0.24,1.05,0.155,0.0,0.0,5.15
00-0034798,Durham Smythe,TE,CHI,4,1.28,0.25,-1.03,-0.83,1.88,0.75,-1.13,-0.98,2.49,1.25,-1.24,-1.11,-0.015,0.86,0.03,0.0
00-0034827,DJ Moore,WR,CHI,17,6.92,6.35,-0.57,-0.03,8.46,7.82,-0.64,-0.18,10.01,9.29,-0.72,-0.27,0.069,5.0,0.16,0.88
00-0034829,Mike Gesicki,TE,CIN,12,4.32,3.0,-1.32,-1.12,5.4,4.17,-1.23,-1.08,6.49,5.33,-1.16,-1.03,-0.106,3.5,0.1,0.0
00-0034837,Calvin Ridley,WR,TEN,7,4.86,3.86,-1.0,-0.46,6.36,5.07,-1.29,-0.83,7.85,6.29,-1.56,-1.11,-0.101,5.14,0.17,0.0
00-0034844,Saquon Barkley,RB,PHI,16,13.26,11.44,-1.82,-1.07,14.46,12.59,-1.87,-1.23,15.65,13.75,-1.9,-1.28,-0.047,3.12,0.12,17.5
00-0034854,KhaDarel Hodge,WR,ATL,3,3.68,1.0,-2.68,-2.14,4.65,1.5,-3.15,-2.69,5.61,2.0,-3.61,-3.16,-0.09,1.25,0.04,0.0
