player_id,name,pos,team,games,ep_std,ppg_std,gap_std,gapc_std,ep_half,ppg_half,gap_half,gapc_half,ep_ppr,ppg_ppr,gap_ppr,gapc_ppr,td_luck_pg,tgt_pg,tgt_share,carry_pg
00-0036626,Dyami Brown,WR,JAX,11,5.28,2.09,-3.19,-2.65,6.27,3.0,-3.27,-2.81,7.25,3.91,-3.34,-2.89,-0.242,3.36,0.1,0.55
00-0036628,John Bates,TE,WAS,9,1.75,1.33,-0.42,-0.22,2.42,1.94,-0.48,-0.33,3.1,2.56,-0.54,-0.41,0.006,1.6,0.07,0.0
00-0036630,Tylan Wallace,WR,BAL,6,2.05,1.5,-0.55,-0.01,2.4,1.83,-0.57,-0.11,2.76,2.17,-0.59,-0.14,-0.012,0.73,0.03,0.0
00-0036637,Noah Gray,TE,KC,13,2.46,1.0,-1.46,-1.26,3.45,1.81,-1.64,-1.49,4.44,2.62,-1.82,-1.69,-0.068,2.64,0.08,0.0
00-0036741,Jack Stoll,TE,NO,8,1.03,1.0,-0.03,0.17,1.51,1.38,-0.13,0.02,2.0,1.75,-0.25,-0.12,0.079,1.22,0.03,0.0
00-0036754,Brock Wright,TE,DET,7,2.84,2.71,-0.13,0.07,4.12,3.71,-0.41,-0.26,5.41,4.71,-0.7,-0.57,0.149,2.75,0.09,0.0
00-0036755,Jaret Patterson,RB,LAC,6,4.69,3.33,-1.36,-0.61,4.94,3.58,-1.36,-0.72,5.2,3.83,-1.37,-0.76,-0.083,0.67,0.02,6.83
00-0036825,Feleipe Franks,TE,ATL,2,0.32,0.0,-0.32,-0.12,0.32,0.0,-0.32,-0.17,0.32,0.0,-0.32,-0.19,0.0,0.0,0.0,0.2
00-0036841,Austin Trammell,WR,JAX,5,2.68,0.8,-1.88,-1.34,3.26,1.1,-2.16,-1.7,3.84,1.4,-2.44,-1.99,-0.156,1.67,0.07,0.0
00-0036842,Kene Nwangwu,RB,NYJ,2,5.63,2.0,-3.63,-2.88,5.83,2.0,-3.83,-3.18,6.03,2.0,-4.03,-3.42,-0.45,0.1,0.0,1.3
00-0036849,Tutu Atwell,WR,LA,8,2.48,2.75,0.27,0.81,2.99,3.12,0.13,0.59,3.5,3.5,0.0,0.45,0.059,1.88,0.05,0.0
00-0036862,Ben Skowronek,WR,PIT,6,1.15,2.0,0.85,1.39,1.44,2.33,0.89,1.35,1.74,2.67,0.93,1.38,0.097,0.38,0.01,0.0
00-0036875,Rhamondre Stevenson,RB,NE,14,8.86,9.64,0.78,1.53,9.79,10.79,1.0,1.64,10.72,11.93,1.21,1.82,0.099,2.64,0.1,9.29
00-0036876,Kylen Granson,TE,PHI,4,1.75,0.75,-1.0,-0.8,2.51,1.62,-0.89,-0.74,3.27,2.5,-0.77,-0.64,-0.032,0.75,0.03,0.0
00-0036887,Luke Farrell,TE,SF,9,1.61,1.67,0.06,0.26,2.19,2.28,0.09,0.24,2.76,2.89,0.13,0.26,0.11,1.08,0.03,0.0
00-0036893,Najee Harris,RB,LAC,3,2.99,2.0,-0.99,-0.24,3.4,2.5,-0.9,-0.26,3.81,3.0,-0.81,-0.2,-0.03,1.0,0.03,5.0
00-0036894,Pat Freiermuth,TE,PIT,15,3.4,4.4,1.0,1.2,4.64,5.77,1.13,1.28,5.88,7.13,1.25,1.38,0.091,3.6,0.11,0.0
00-0036898,Davis Mills,QB,HOU,6,13.18,10.5,-2.68,-1.39,13.18,10.5,-2.68,-1.39,13.18,10.5,-2.68,-1.39,-0.485,0.0,0.0,2.17
00-0036900,Ja'Marr Chase,WR,CIN,16,11.41,11.38,-0.03,0.51,15.29,15.28,-0.01,0.45,19.17,19.19,0.02,0.47,0.074,11.56,0.32,0.19
00-0036906,Khalil Herbert,RB,NYJ,3,3.67,1.33,-2.34,-1.59,4.17,1.5,-2.67,-2.02,4.67,1.67,-3.0,-2.38,-0.103,0.8,0.03,3.2
00-0036912,DeVonta Smith,WR,PHI,17,7.19,6.82,-0.37,0.17,9.25,9.09,-0.16,0.3,11.31,11.35,0.04,0.49,-0.042,6.65,0.25,0.0
00-0036919,Kenny Gainwell,RB,PIT,17,8.78,8.0,-0.78,-0.03,10.66,10.15,-0.51,0.14,12.55,12.29,-0.26,0.36,-0.071,5.0,0.16,6.71
00-0036924,Michael Carter,RB,ARI,13,6.56,4.31,-2.25,-1.5,7.89,5.58,-2.31,-1.66,9.23,6.85,-2.38,-1.76,-0.162,3.46,0.09,7.08
00-0036945,Justin Fields,QB,NYJ,9,13.84,14.89,1.05,2.34,13.88,14.89,1.01,2.3,13.91,14.89,0.98,2.27,0.248,0.11,0.0,7.89
00-0036959,Michael Bandy,WR,DEN,3,0.95,2.67,1.72,2.26,1.4,3.33,1.93,2.39,1.85,4.0,2.15,2.6,0.32,1.0,0.03,0.0
00-0036963,Amon-Ra St. Brown,WR,DET,17,12.29,11.65,-0.64,-0.1,15.79,15.09,-0.7,-0.24,19.29,18.53,-0.76,-0.31,-0.029,10.12,0.32,0.18
00-0036970,Kyle Pitts,TE,ATL,17,6.38,6.65,0.27,0.47,8.77,9.24,0.47,0.62,11.17,11.82,0.65,0.78,0.091,6.94,0.23,0.0
00-0036971,Trevor Lawrence,QB,JAX,17,21.05,18.88,-2.17,-0.88,21.05,18.88,-2.17,-0.88,21.05,18.88,-2.17,-0.88,-0.046,0.0,0.0,4.82
00-0036972,Mac Jones,QB,SF,11,11.83,11.0,-0.83,0.46,11.83,11.0,-0.83,0.46,11.83,11.0,-0.83,0.46,0.064,0.0,0.0,3.27
00-0036973,Travis Etienne,RB,JAX,17,11.8,11.94,0.14,0.89,13.02,13.0,-0.02,0.62,14.23,14.06,-0.17,0.44,0.147,3.06,0.1,15.29
00-0036980,Elijah Moore,WR,BUF,9,2.53,1.56,-0.97,-0.43,3.21,2.06,-1.15,-0.69,3.89,2.56,-1.33,-0.88,0.041,1.89,0.07,0.67
00-0036988,Josh Palmer,WR,BUF,12,3.71,2.17,-1.54,-1.0,4.7,3.08,-1.62,-1.16,5.68,4.0,-1.68,-1.23,-0.149,3.08,0.1,0.0
00-0036997,Javonte Williams,RB,DAL,16,13.84,12.19,-1.65,-0.9,15.14,13.28,-1.86,-1.22,16.43,14.38,-2.05,-1.43,-0.101,3.19,0.09,15.75
00-0037004,Hunter Long,TE,JAX,7,2.79,2.43,-0.36,-0.16,3.65,3.29,-0.36,-0.21,4.51,4.14,-0.37,-0.24,0.051,2.43,0.07,0.0
00-0037005,Tommy Tremble,TE,CAR,15,1.98,2.07,0.09,0.29,2.87,2.97,0.1,0.25,3.75,3.87,0.12,0.25,0.061,2.47,0.09,0.0
00-0037012,Trey Lance,QB,LAC,4,5.87,2.5,-3.37,-2.08,5.87,2.5,-3.37,-2.08,5.87,2.5,-3.37,-2.08,-0.315,0.0,0.0,4.25
00-0037013,Zach Wilson,QB,MIA,4,0.74,0.0,-0.74,0.55,0.74,0.0,-0.74,0.55,0.74,0.0,-0.74,0.55,-0.022,0.0,0.0,0.75
00-0037015,Sal Cannella,TE,CLE,2,2.3,0.5,-1.8,-1.6,2.98,1.0,-1.98,-1.83,3.65,1.5,-2.15,-2.02,-0.125,2.5,0.11,0.0
00-0037085,Tyler Badie,RB,DEN,14,1.88,0.57,-1.31,-0.56,2.74,1.25,-1.49,-0.84,3.6,1.93,-1.67,-1.06,-0.092,1.94,0.05,0.5
00-0037086,Grant Calcaterra,TE,PHI,8,1.72,1.25,-0.47,-0.27,2.28,1.81,-0.47,-0.32,2.83,2.38,-0.45,-0.32,0.013,1.44,0.05,0.0
00-0037093,Dareke Young,WR,SEA,3,1.08,1.33,0.25,0.79,1.33,1.67,0.34,0.8,1.58,2.0,0.42,0.87,-0.02,0.38,0.01,0.0
00-0037112,Jake Tonges,TE,SF,9,5.23,6.22,0.99,1.19,7.03,8.11,1.08,1.23,8.82,10.0,1.18,1.31,0.248,4.6,0.12,0.0
00-0037120,Tyler Goodson,RB,IND,7,1.29,0.0,-1.29,-0.54,1.47,0.14,-1.33,-0.68,1.65,0.29,-1.36,-0.75,-0.081,0.3,0.01,0.9
00-0037157,Bam Knight,RB,ARI,10,8.68,6.3,-2.38,-1.63,9.83,7.4,-2.43,-1.78,10.98,8.5,-2.48,-1.86,-0.117,2.58,0.06,6.83
00-0037197,Isiah Pacheco,RB,KC,13,6.47,4.62,-1.85,-1.1,7.26,5.35,-1.91,-1.26,8.05,6.08,-1.97,-1.36,-0.063,2.0,0.07,9.08
00-0037228,Jaylen Warren,RB,PIT,16,10.7,10.25,-0.45,0.3,11.85,11.5,-0.35,0.3,12.99,12.75,-0.24,0.38,-0.114,2.81,0.1,13.19
00-0037231,Kevin Austin Jr.,WR,NO,5,4.17,3.6,-0.57,-0.03,5.71,4.9,-0.81,-0.35,7.24,6.2,-1.04,-0.59,0.068,4.6,0.14,0.0
00-0037238,Drake London,WR,ATL,12,10.8,10.58,-0.22,0.32,13.75,13.42,-0.33,0.13,16.69,16.25,-0.44,0.01,0.076,9.33,0.3,0.0
00-0037239,Chris Olave,WR,NO,16,10.12,9.94,-0.18,0.36,13.07,13.06,-0.01,0.45,16.02,16.19,0.17,0.62,0.112,9.75,0.29,0.06
00-0037240,Jameson Williams,WR,DET,17,7.43,8.47,1.04,1.58,9.34,10.38,1.04,1.5,11.24,12.29,1.05,1.5,0.148,6.0,0.19,0.35
00-0037247,George Pickens,WR,DAL,17,10.3,11.12,0.82,1.36,12.82,13.85,1.03,1.49,15.35,16.59,1.24,1.69,-0.076,8.06,0.23,0.0
00-0037248,James Cook,RB,BUF,17,12.89,15.0,2.11,2.86,13.8,15.97,2.17,2.82,14.71,16.94,2.23,2.84,0.221,2.35,0.08,18.18
00-0037252,Greg Dulcich,TE,MIA,9,3.83,3.56,-0.27,-0.07,5.18,5.0,-0.18,-0.03,6.52,6.44,-0.08,0.05,-0.09,3.67,0.15,0.11
00-0037256,Rachaad White,RB,TB,17,6.89,5.24,-1.65,-0.9,7.97,6.41,-1.56,-0.92,9.04,7.59,-1.45,-0.84,-0.132,2.65,0.08,7.76
00-0037258,Dameon Pierce,RB,KC,3,2.25,1.0,-1.25,-0.5,2.4,1.0,-1.4,-0.75,2.54,1.0,-1.54,-0.92,-0.023,0.2,0.01,2.8
00-0037261,Khalil Shakir,WR,BUF,16,4.68,5.38,0.7,1.24,6.91,7.62,0.71,1.17,9.15,9.88,0.73,1.18,0.103,5.94,0.21,0.06
00-0037263,Tyler Allgeier,RB,ATL,17,6.38,5.76,-0.62,0.13,6.75,6.18,-0.57,0.08,7.12,6.59,-0.53,0.08,0.072,0.94,0.03,8.41
00-0037267,Jerome Ford,RB,CLE,13,2.72,0.77,-1.95,-1.2,3.68,1.77,-1.91,-1.26,4.64,2.77,-1.87,-1.26,-0.13,2.46,0.07,1.85
00-0037276,Ty Chandler,RB,MIN,2,7.36,2.5,-4.86,-4.11,8.2,3.25,-4.95,-4.3,9.04,4.0,-5.04,-4.42,-0.47,1.33,0.04,5.67
00-0037282,James Mitchell,TE,CAR,2,0.95,1.0,0.05,0.25,1.54,1.75,0.21,0.36,2.13,2.5,0.37,0.5,0.0,1.5,0.05,0.0
00-0037291,Jalen Nailor,WR,MIN,17,4.16,3.76,-0.4,0.14,5.04,4.62,-0.42,0.04,5.92,5.47,-0.45,0.0,-0.039,3.12,0.12,0.12
00-0037292,Andrew Ogletree,TE,IND,4,1.87,1.75,-0.12,0.08,2.39,2.25,-0.14,0.01,2.92,2.75,-0.17,-0.04,0.125,0.55,0.02,0.0
00-0037306,John FitzPatrick,TE,GB,10,1.59,1.0,-0.59,-0.39,2.17,1.6,-0.57,-0.42,2.75,2.2,-0.55,-0.42,-0.032,1.36,0.05,0.0
00-0037324,Chris Oladokun,QB,KC,3,6.69,3.0,-3.69,-2.4,6.69,3.0,-3.69,-2.4,6.69,3.0,-3.69,-2.4,-0.273,0.0,0.0,1.67
00-0037340,Zaire Mitchell-Paden,TE,NO,3,1.78,0.33,-1.45,-1.25,2.12,0.67,-1.45,-1.3,2.45,1.0,-1.45,-1.32,-0.213,1.0,0.04,0.0
00-0037348,Tanner Conner,TE,MIA,7,2.1,0.86,-1.24,-1.04,2.82,1.5,-1.32,-1.17,3.54,2.14,-1.4,-1.27,-0.077,1.88,0.06,0.0
00-0037475,Stone Smartt,TE,NYJ,3,1.8,1.33,-0.47,-0.27,2.86,2.5,-0.36,-0.21,3.93,3.67,-0.26,-0.13,-0.007,1.5,0.05,0.0
00-0037487,Deven Thompkins,WR,ATL,2,1.39,1.0,-0.39,0.15,1.98,1.75,-0.23,0.23,2.57,2.5,-0.07,0.38,-0.005,0.43,0.01,0.14
00-0037524,Tay Martin,WR,WAS,2,0.86,0.5,-0.36,0.18,1.22,1.0,-0.22,0.24,1.57,1.5,-0.07,0.38,-0.005,1.0,0.04,0.0
00-0037525,Jordan Mason,RB,MIN,16,6.62,6.44,-0.18,0.57,7.02,6.88,-0.14,0.5,7.42,7.31,-0.11,0.5,0.047,1.0,0.04,9.94
00-0037539,Lucas Krull,TE,DEN,2,1.49,0.0,-1.49,-1.29,2.26,0.5,-1.76,-1.61,3.02,1.0,-2.02,-1.89,-0.005,2.0,0.07,0.0
00-0037545,Rashid Shaheed,WR,SEA,18,5.33,4.83,-0.5,0.04,6.91,6.47,-0.44,0.02,8.48,8.11,-0.37,0.08,-0.066,5.11,0.16,0.5
00-0037557,Ronnie Rivers,RB,LA,2,2.19,2.0,-0.19,0.56,2.19,2.0,-0.19,0.46,2.19,2.0,-0.19,0.42,-0.02,0.0,0.0,1.5
00-0037563,Malik Davis,RB,DAL,9,4.29,3.89,-0.4,0.35,4.5,4.0,-0.5,0.15,4.7,4.11,-0.59,0.03,-0.007,0.5,0.01,5.2
00-0037594,Julius Chestnut,RB,TEN,7,1.16,0.29,-0.87,-0.12,1.22,0.29,-0.93,-0.29,1.29,0.29,-1.0,-0.38,-0.069,0.12,0.0,0.69
00-0037614,John Metchie III,WR,NYJ,12,3.05,2.75,-0.3,0.24,4.41,4.12,-0.29,0.17,5.76,5.5,-0.26,0.19,0.082,3.69,0.13,0.23
00-0037617,Hassan Haskins,RB,LAC,5,2.11,0.6,-1.51,-0.76,2.43,1.0,-1.43,-0.78,2.74,1.4,-1.34,-0.73,-0.034,0.36,0.01,1.55
00-0037654,Tucker Fisk,TE,LAC,4,0.83,0.25,-0.58,-0.38,1.17,0.5,-0.67,-0.52,1.51,0.75,-0.76,-0.63,-0.025,1.0,0.03,0.0
00-0037664,Alec Pierce,WR,IND,15,8.31,8.53,0.22,0.76,9.81,10.1,0.29,0.75,11.32,11.67,0.35,0.8,0.029,5.6,0.18,0.0
00-0037666,Jalen Tolbert,WR,DAL,11,3.79,2.27,-1.52,-0.98,4.73,3.09,-1.64,-1.18,5.67,3.91,-1.76,-1.31,-0.125,2.83,0.08,0.0
00-0037740,Garrett Wilson,WR,NYJ,7,7.32,8.86,1.54,2.08,10.01,11.43,1.42,1.88,12.69,14.0,1.31,1.76,0.386,8.43,0.35,0.0
00-0037741,Jahan Dotson,WR,PHI,14,2.91,2.0,-0.91,-0.37,3.63,2.64,-0.99,-0.53,4.34,3.29,-1.05,-0.6,-0.043,2.4,0.08,0.0
00-0037742,Treylon Burks,WR,WAS,8,3.64,2.12,-1.52,-0.98,4.38,2.75,-1.63,-1.17,5.12,3.38,-1.74,-1.29,-0.132,2.75,0.13,0.0
00-0037744,Trey McBride,TE,ARI,17,10.8,10.71,-0.09,0.11,14.25,14.41,0.16,0.31,17.7,18.12,0.42,0.55,0.008,9.94,0.28,0.0
00-0037746,Brian Robinson,RB,SF,16,3.85,2.94,-0.91,-0.16,4.15,3.19,-0.96,-0.31,4.44,3.44,-1.0,-0.38,-0.041,0.71,0.02,5.41
00-0037755,Jelani Woods,TE,NYJ,2,0.93,0.0,-0.93,-0.73,1.48,0.25,-1.23,-1.08,2.03,0.5,-1.53,-1.4,-0.025,1.5,0.05,0.0
00-0037801,KaVontae Turpin,WR,DAL,15,3.39,3.13,-0.26,0.28,4.27,4.0,-0.27,0.19,5.15,4.87,-0.28,0.17,0.005,2.53,0.07,1.13
00-0037805,Jeremy Ruckert,TE,NYJ,13,1.65,1.46,-0.19,0.01,2.44,2.35,-0.09,0.06,3.24,3.23,-0.01,0.12,0.008,2.07,0.07,0.0
00-0037809,Chig Okonkwo,TE,TEN,17,3.33,3.59,0.26,0.46,5.0,5.24,0.24,0.39,6.67,6.88,0.21,0.34,0.051,4.65,0.15,0.0
00-0037816,Romeo Doubs,WR,GB,16,7.09,6.5,-0.59,-0.05,8.68,8.22,-0.46,0.0,10.27,9.94,-0.33,0.12,-0.038,5.31,0.19,0.0
00-0037834,Brock Purdy,QB,SF,9,20.17,18.89,-1.28,0.01,20.17,18.89,-1.28,0.01,20.17,18.89,-1.28,0.01,0.086,0.0,0.0,3.67
00-0037837,Calvin Austin III,WR,PIT,14,3.82,3.57,-0.25,0.29,5.03,4.68,-0.35,0.11,6.24,5.79,-0.45,0.0,0.081,3.93,0.13,0.0
00-0037838,Isaiah Likely,TE,BAL,11,3.39,2.73,-0.66,-0.46,4.47,3.95,-0.52,-0.37,5.56,5.18,-0.38,-0.25,-0.083,3.0,0.12,0.0
00-0037840,Kyren Williams,RB,LA,17,12.4,12.65,0.25,1.0,13.49,13.71,0.22,0.86,14.58,14.76,0.18,0.8,0.045,2.94,0.08,15.24
00-0038040,Zamir White,RB,LV,5,1.99,0.2,-1.79,-1.04,2.48,0.6,-1.88,-1.23,2.97,1.0,-1.97,-1.36,-0.016,1.2,0.04,2.4
00-0038041,Jake Ferguson,TE,DAL,17,7.33,5.76,-1.57,-1.37,9.54,8.18,-1.36,-1.21,11.75,10.59,-1.16,-1.03,-0.073,6.0,0.16,0.06
00-0038046,Charlie Kolar,TE,BAL,11,1.68,2.09,0.41,0.61,2.18,2.55,0.37,0.52,2.67,3.0,0.33,0.46,0.106,1.15,0.05,0.0
00-0038090,Skyy Moore,WR,SF,9,1.03,0.89,-0.14,0.4,1.27,1.17,-0.1,0.36,1.51,1.44,-0.07,0.38,-0.012,0.41,0.01,0.12
00-0038102,Kenny Pickett,QB,LV,6,2.29,0.5,-1.79,-0.5,2.29,0.5,-1.79,-0.5,2.29,0.5,-1.79,-0.5,0.012,0.0,0.0,0.83
00-0038104,Tyquan Thornton,WR,KC,11,5.59,5.27,-0.32,0.22,6.27,6.14,-0.13,0.33,6.95,7.0,0.05,0.5,-0.102,3.08,0.09,0.0
00-0038115,Daniel Bellinger,TE,NYG,12,2.68,3.0,0.32,0.52,3.38,3.79,0.41,0.56,4.08,4.58,0.5,0.63,0.003,2.0,0.06,0.0
00-0038117,Wan'Dale Robinson,WR,NYG,16,7.81,7.38,-0.43,0.11,10.65,10.25,-0.4,0.06,13.5,13.12,-0.38,0.07,-0.02,8.75,0.3,0.19
00-0038120,Breece Hall,RB,NYJ,16,10.03,9.81,-0.22,0.53,11.15,10.94,-0.21,0.44,12.27,12.06,-0.21,0.4,0.063,3.0,0.11,15.19
00-0038124,Christian Watson,WR,GB,10,8.05,9.1,1.05,1.59,9.54,10.85,1.31,1.77,11.03,12.6,1.57,2.02,0.161,5.5,0.2,0.1
00-0038128,Malik Willis,QB,GB,4,8.48,12.0,3.52,4.81,8.48,12.0,3.52,4.81,8.48,12.0,3.52,4.81,0.338,0.0,0.0,5.5
00-0038129,Cade Otton,TE,TB,15,4.49,3.8,-0.69,-0.49,6.5,5.77,-0.73,-0.58,8.51,7.73,-0.78,-0.65,-0.055,5.4,0.17,0.0
00-0038134,Kenneth Walker III,RB,SEA,17,9.64,8.59,-1.05,-0.3,10.5,9.5,-1.0,-0.36,11.36,10.41,-0.95,-0.34,-0.118,2.12,0.08,13.0
00-0038359,Xavier Smith,WR,LA,10,2.92,2.5,-0.42,0.12,3.65,3.4,-0.25,0.21,4.39,4.3,-0.09,0.36,-0.095,1.5,0.05,0.0
00-0038393,Dontayvion Wicks,WR,GB,13,4.11,3.0,-1.11,-0.57,5.21,4.15,-1.06,-0.6,6.31,5.31,-1.0,-0.55,-0.039,3.54,0.13,0.08
00-0038397,Evan Hull,RB,NO,6,1.65,0.5,-1.15,-0.4,1.72,0.58,-1.14,-0.49,1.8,0.67,-1.13,-0.51,-0.028,0.17,0.01,3.17
00-0038400,Tanner McKee,QB,PHI,4,5.46,2.5,-2.96,-1.67,5.46,2.5,-2.96,-1.67,5.46,2.5,-2.96,-1.67,-0.435,0.0,0.0,2.0
00-0038416,Tyson Bagent,QB,CHI,2,0.89,0.5,-0.39,0.9,0.89,0.5,-0.39,0.9,0.89,0.5,-0.39,0.9,-0.01,0.0,0.0,1.0
00-0038440,Zavier Scott,RB,MIN,9,3.27,1.89,-1.38,-0.63,3.92,2.67,-1.25,-0.6,4.57,3.44,-1.13,-0.51,-0.001,1.45,0.04,2.91
00-0038454,Keaton Mitchell,RB,BAL,12,3.61,3.25,-0.36,0.39,4.02,3.62,-0.4,0.24,4.42,4.0,-0.42,0.2,-0.045,0.92,0.04,4.54
00-0038465,Malik Heath,WR,GB,5,1.06,1.2,0.14,0.68,1.5,1.8,0.3,0.76,1.95,2.4,0.45,0.9,-0.01,1.0,0.03,0.0
00-0038496,Xavier Gipson,WR,PHI,2,0.58,-1.0,-1.58,-1.04,1.02,-0.5,-1.52,-1.06,1.47,0.0,-1.47,-1.02,-0.03,0.33,0.01,0.0
00-0038519,Nikko Remigio,WR,KC,2,0.96,1.5,0.54,1.08,1.09,1.75,0.66,1.12,1.21,2.0,0.79,1.24,-0.01,0.07,0.0,0.07
00-0038542,Bijan Robinson,RB,ATL,17,14.66,16.41,1.75,2.5,16.95,18.74,1.79,2.44,19.24,21.06,1.82,2.44,0.085,6.06,0.2,16.88
00-0038543,Jaxon Smith-Njigba,WR,SEA,17,11.43,13.65,2.22,2.76,14.45,17.15,2.7,3.16,17.48,20.65,3.17,3.62,0.116,9.59,0.37,0.41
00-0038544,Quentin Johnston,WR,LAC,13,7.92,8.69,0.77,1.31,9.95,10.65,0.7,1.16,11.97,12.62,0.65,1.1,0.19,6.46,0.2,0.15
00-0038547,Luke Schoonmaker,TE,DAL,14,1.49,0.57,-0.92,-0.72,2.05,1.07,-0.98,-0.83,2.61,1.57,-1.04,-0.91,-0.045,1.64,0.05,0.0
00-0038551,Kendre Miller,RB,NO,7,3.62,3.29,-0.33,0.42,3.92,3.64,-0.28,0.36,4.22,4.0,-0.22,0.4,0.086,0.71,0.02,6.71
00-0038555,Tank Bigsby,RB,PHI,11,4.59,4.0,-0.59,0.16,4.73,4.14,-0.59,0.06,4.88,4.27,-0.61,0.01,-0.155,0.27,0.01,4.2
00-0038558,Darnell Washington,TE,PIT,13,3.47,2.92,-0.55,-0.35,4.66,4.12,-0.54,-0.39,5.86,5.31,-0.55,-0.42,-0.111,3.31,0.11,0.0
00-0038559,Michael Wilson,WR,ARI,17,8.18,7.94,-0.24,0.3,10.43,10.24,-0.19,0.27,12.67,12.53,-0.14,0.31,0.039,7.41,0.19,0.0
00-0038563,Tre Tucker,WR,LV,17,5.71,5.53,-0.18,0.36,7.41,7.21,-0.2,0.26,9.12,8.88,-0.24,0.21,0.07,5.41,0.19,0.65
00-0038573,Derius Davis,WR,LAC,5,0.82,-0.4,-1.22,-0.68,1.0,-0.2,-1.2,-0.74,1.18,0.0,-1.18,-0.73,-0.042,0.27,0.01,0.18
00-0038582,Clayton Tune,QB,GB,2,2.92,0.5,-2.42,-1.13,2.92,0.5,-2.42,-1.13,2.92,0.5,-2.42,-1.13,-0.115,0.0,0.0,2.5
00-0038589,Josh Whyle,TE,GB,6,1.24,1.33,0.09,0.29,1.6,1.75,0.15,0.3,1.96,2.17,0.21,0.34,0.065,1.0,0.05,0.0
00-0038597,Chase Brown,RB,CIN,17,12.13,11.65,-0.48,0.27,14.12,13.68,-0.44,0.2,16.11,15.71,-0.4,0.21,0.104,5.18,0.14,13.65
00-0038606,Parker Washington,WR,JAX,15,7.89,7.93,0.04,0.58,9.79,9.87,0.08,0.54,11.69,11.8,0.11,0.56,-0.037,5.94,0.18,0.44
00-0038608,Kayshon Boutte,WR,NE,14,4.65,6.07,1.42,1.96,5.55,7.25,1.7,2.16,6.44,8.43,1.99,2.44,0.185,3.29,0.12,0.0
00-0038611,Chris Rodriguez Jr.,RB,WAS,12,7.56,6.75,-0.81,-0.06,7.66,6.88,-0.78,-0.14,7.76,7.0,-0.76,-0.15,-0.122,0.33,0.01,9.33
00-0038618,Xavier Hutchinson,WR,HOU,16,4.0,3.38,-0.62,-0.08,5.14,4.47,-0.67,-0.21,6.29,5.56,-0.73,-0.28,0.011,3.56,0.11,0.19
00-0038619,Andrei Iosivas,WR,CIN,15,4.39,3.4,-0.99,-0.45,5.63,4.5,-1.13,-0.67,6.86,5.6,-1.26,-0.81,-0.051,3.87,0.1,0.2
00-0038621,DeMario Douglas,WR,NE,16,3.6,3.44,-0.16,0.38,4.53,4.41,-0.12,0.34,5.45,5.38,-0.07,0.38,-0.009,2.88,0.1,0.44
00-0038640,Jalen Brooks,WR,ARI,2,2.52,1.0,-1.52,-0.98,3.48,1.75,-1.73,-1.27,4.43,2.5,-1.93,-1.48,-0.02,1.2,0.03,0.0
00-0038679,Tyrell Shavers,WR,BUF,10,2.45,2.7,0.25,0.79,3.17,3.45,0.28,0.74,3.89,4.2,0.31,0.76,0.038,2.09,0.08,0.0
00-0038685,Chris Brooks,RB,GB,14,1.8,1.0,-0.8,-0.05,2.26,1.46,-0.8,-0.16,2.72,1.93,-0.79,-0.18,-0.041,1.0,0.04,1.59
00-0038705,Emari Demercado,RB,ARI,11,3.91,3.45,-0.46,0.29,4.6,4.05,-0.55,0.09,5.29,4.64,-0.65,-0.04,-0.08,1.67,0.04,3.67
00-0038710,Blake Whiteheart,TE,CLE,6,0.76,0.0,-0.76,-0.56,1.1,0.17,-0.93,-0.78,1.43,0.33,-1.1,-0.97,-0.007,0.67,0.02,0.0
00-0038720,Julian Hill,TE,MIA,11,1.41,1.09,-0.32,-0.12,2.09,1.77,-0.32,-0.17,2.77,2.45,-0.32,-0.19,-0.046,1.82,0.07,0.0
00-0038738,Hunter Luepke,RB,DAL,11,2.17,1.64,-0.53,0.22,2.7,2.23,-0.47,0.18,3.23,2.82,-0.41,0.2,-0.022,1.07,0.03,1.14
00-0038752,Jake Bobo,WR,SEA,2,0.89,0.5,-0.39,0.15,1.26,1.0,-0.26,0.2,1.62,1.5,-0.12,0.33,-0.01,0.4,0.02,0.0
00-0038783,Nate Adkins,TE,DEN,6,1.85,1.67,-0.18,0.02,2.54,2.17,-0.37,-0.22,3.22,2.67,-0.55,-0.42,0.043,1.83,0.05,0.0
00-0038794,Jaleel McLaughlin,RB,DEN,8,3.01,2.75,-0.26,0.49,3.32,3.0,-0.32,0.32,3.63,3.25,-0.38,0.24,0.048,0.75,0.03,4.62
00-0038797,Emanuel Wilson,RB,GB,16,5.53,4.25,-1.28,-0.53,5.94,4.72,-1.22,-0.57,6.35,5.19,-1.16,-0.54,-0.078,1.0,0.04,7.35
00-0038809,Ben Sims,TE,MIN,3,2.18,0.33,-1.85,-1.65,2.76,0.83,-1.93,-1.78,3.34,1.33,-2.01,-1.88,-0.093,2.0,0.08,0.0
00-0038824,Ryan Miller,WR,TB,4,1.55,2.25,0.7,1.24,1.8,2.5,0.7,1.16,2.04,2.75,0.71,1.16,0.15,0.44,0.01,0.0
00-0038839,Mitchell Tinsley,WR,CIN,8,4.03,2.5,-1.53,-0.99,4.79,3.0,-1.79,-1.33,5.55,3.5,-2.05,-1.6,-0.014,3.0,0.08,0.0
00-0038840,Brycen Tremayne,WR,CAR,8,1.8,1.38,-0.42,0.12,2.52,2.25,-0.27,0.19,3.24,3.12,-0.12,0.33,-0.016,1.2,0.04,0.0
