player,team,pos,espn,sleeper_std,sleeper_half,sleeper_ppr,ffc_std,ffc_half,ffc_ppr
Chuba Hubbard,CAR,RB,110,72,78,77,83.9,86.0,81.8
Jadarian Price,SEA,RB,63,86,58,67,69.0,72.6,74.7
J.K. Dobbins,DEN,RB,107,75,85,92,71.9,77.6,87.8
Marvin Harrison,ARI,WR,73,89,73,75,65.4,67.0,64.8
Blake Corum,LAR,RB,125,74,92,100,105.6,120.9,122.8
Jordyn Tyson,NO,WR,180,66,94,89,155.8,157.1,157.5
DK Metcalf,PIT,WR,74,80,77,74,63.7,64.9,64.6
Caleb Williams,CHI,QB,82,97,74,71,89.8,92.3,90.1
Sam LaPorta,DET,TE,62,85,64,60,122.8,124.2,115.7
Chris Godwin,TB,WR,136,95,93,93,80.6,76.3,79.3
Justin Herbert,LAC,QB,95,94,80,82,109.2,108.2,105.2
Trevor Lawrence,JAC,QB,84,102,97,97,88.8,91.2,91.6
Dak Prescott,DAL,QB,72,107,83,78,66.1,65.0,65.5
Jakobi Meyers,JAC,WR,106,83,120,111,86.7,86.8,86.1
Jaxson Dart,NYG,QB,66,91,102,90,119.2,121.5,117.4
Parker Washington,JAC,WR,83,81,72,76,64.3,64.9,63.8
Alec Pierce,IND,WR,91,100,95,99,55.4,62.7,69.5
Makai Lemon,PHI,WR,137,2119,87,86,105.8,111.2,116.5
Kenny Gainwell,TB,RB,105,93,106,107,120.4,100.8,92.0
Wan'Dale Robinson,TEN,WR,104,116,114,112,102.6,93.0,86.7
Dalton Kincaid,BUF,TE,121,88,91,87,143.6,149.9,147.5
Aaron Jones,MIN,RB,120,92,112,118,113.9,110.1,105.0
Jacory Croskey-Merritt,WAS,RB,123,103,98,109,88.4,100.8,115.6
Isaiah Likely,NYG,TE,119,125,110,105,139.0,135.3,136.4
George Kittle,SF,TE,79,109,86,88,114.4,109.1,107.3
Travis Kelce,KC,TE,87,117,96,91,138.6,119.3,103.1
Jordan Mason,MIN,RB,135,110,99,113,97.3,114.1,116.3
Jordan Addison,MIN,WR,108,108,100,101,82.4,86.0,97.5
