name,pos,team,room_rank,room_ahead,room_ahead_gap,room_behind,room_behind_gap,rook_pick,rook_name
Elijah Arroyo,TE,SEA,5,Nick Kallerup,,,,,
Tyler Shough,QB,NO,1,,,,,,
Will Sheppard,WR,GB,9,Isaiah Neyor,,,,,
Jaden Smith,WR,DAL,10,Traeshon Holden,,,,218,Anthony Smith
Isaiah Bond,WR,CLE,11,Luke Floriea,,,,24,KC Concepcion
Quinshon Judkins,RB,CLE,1,,,Dylan Sampson,106,,
Dohnte Meyers,WR,CIN,10,Ke'Shawn Williams,,,,140,Colbie Young
Damien Alford,WR,NO,10,Ja'Lynn Polk,,,,8,Jordyn Tyson
Layne Pryor,TE,HOU,5,Cade Stover,,,,59,Marlin Klein
Carson Towt,TE,IND,6,Will Mallory,,,,,
Makai Lemon,WR,PHI,2,DeVonta Smith,68,,,20,Makai Lemon
Ja'Kobi Lane,WR,BAL,3,Rashod Bateman,57,Elijah Sarratt,32,80,Ja'Kobi Lane
Elijah Sarratt,WR,BAL,4,Ja'Kobi Lane,32,,,80,Ja'Kobi Lane
Mike Washington,RB,LV,2,Ashton Jeanty,153,,,122,Mike Washington Jr.
Matthew Hibner,TE,BAL,3,Durham Smythe,,,,133,Matthew Hibner
Nicholas Singleton,RB,TEN,3,Tyjae Spears,37,,,165,Nicholas Singleton
Josh Cuevas,TE,BAL,4,Matthew Hibner,,,,133,Matthew Hibner
Adam Randall,RB,BAL,6,Elijah Tau-Tolliver,,,,174,Adam Randall
Cyrus Allen,WR,KC,13,Xavier Loyd,,,,176,Cyrus Allen
Cole Payton,QB,PHI,4,Tanner McKee,,,,178,Cole Payton
Malik Benson,WR,LV,10,Dont'e Thornton Jr.,,,,195,Malik Benson
Emmanuel Henderson,WR,SEA,11,Ricky White III,,,,199,Emmanuel Henderson Jr.
Anthony Smith,WR,DAL,11,Jaden Smith,,,,218,Anthony Smith
Jaren Kanak,TE,TEN,6,David Martin-Robinson,,,,225,Jaren Kanak
Garrett Nussmeier,QB,KC,3,Chris Oladokun,,,,249,Garrett Nussmeier
Hank Beatty,WR,TEN,12,Xavier Restrepo,,,,4,Carnell Tate
Tyren Montgomery,WR,TEN,13,Hank Beatty,,,,4,Carnell Tate
Dae'Quan Wright,TE,PHI,8,Cameron Latu,,,,54,Eli Stowers
Camden Brown,WR,DAL,12,Anthony Smith,,,,218,Anthony Smith
Jordan Hudson,WR,DAL,13,Camden Brown,,,,218,Anthony Smith
Dominic Richardson,RB,DAL,7,Phil Mafah,,,,,
D.J. Rogers,TE,DAL,6,Brevyn Spann-Ford,,,,,
Michael Trigg,TE,DAL,2,Jake Ferguson,81,,,,
Kyron Drones,QB,GB,4,Kyle McCord,,,,,
R.J. Maryland,TE,GB,6,Drake Dabney,,,,,
Jaden Nixon,RB,GB,4,Damien Martinez,,,,,
J.Michael Sturdivant,WR,GB,10,Will Sheppard,,,,,
Jeff Caldwell,WR,KC,9,Jalen Royals,,,,176,Cyrus Allen
Omari Evans,WR,KC,10,Jeff Caldwell,,,,176,Cyrus Allen
John Michael Gyllenborg,TE,KC,6,Tre Watson,,,,,
Jaydn Ott,RB,KC,4,Brashard Smith,,,,161,Emmett Johnson
E.J. Smith,RB,KC,5,Jaydn Ott,,,,161,Emmett Johnson
Jacob De Jesus,WR,KC,11,Omari Evans,,,,176,Cyrus Allen
Michael Briscoe,WR,MIN,8,Myles Price,,,,,
Lance Mason,TE,SEA,6,Elijah Arroyo,,,,,
Cortez Braham,WR,BAL,10,Xavier Guillory,,,,80,Ja'Kobi Lane
Joe Fagnano,QB,BAL,4,Skylar Thompson,,,,,
Dontae McMillan,RB,BAL,4,Lucas Scott,,,,174,Adam Randall
Diego Pavia,QB,BAL,5,Joe Fagnano,,,,,
Ty Pezza,WR,BAL,11,Cortez Braham,,,,80,Ja'Kobi Lane
Octavian Smith,WR,BAL,12,Ty Pezza,,,,80,Ja'Kobi Lane
Elijah Tau-Tolliver,RB,BAL,5,Dontae McMillan,,,,174,Adam Randall
Jacob Clark,QB,LV,2,Fernando Mendoza,,,,1,Fernando Mendoza
Roman Hemby,RB,LV,5,Dylan Laube,,,,122,Mike Washington Jr.
Chase Roberts,WR,LV,11,Malik Benson,,,,195,Malik Benson
Corey Rucker,WR,LV,12,Chase Roberts,,,,195,Malik Benson
E.J. Williams,WR,LV,13,Corey Rucker,,,,195,Malik Benson
Emmett Johnson,RB,KC,2,Kenneth Walker III,132,Brashard Smith,50,161,Emmett Johnson
Patrick Gurd,TE,LV,6,Carter Runyon,,,,,
Xavier Loyd,WR,KC,12,Jacob De Jesus,,,,176,Cyrus Allen
Jonathan Brady,WR,LV,14,E.J. Williams,,,,195,Malik Benson
Jeremiyah Love,RB,ARI,1,,,James Conner,127,3,Jeremiyah Love
Jordyn Tyson,WR,NO,2,Chris Olave,62,Devaughn Vele,148,8,Jordyn Tyson
Kenyon Sadiq,TE,NYJ,1,,,Mason Taylor,57,16,Kenyon Sadiq
De'Zhaun Stribling,WR,SF,3,Ricky Pearsall,54,Christian Kirk,68,33,De'Zhaun Stribling
Denzel Boston,WR,CLE,3,Jerry Jeudy,19,Aaron Anderson,92,24,KC Concepcion
Antonio Williams,WR,WAS,2,Terry McLaurin,101,,,71,Antonio Williams
Oscar Delp,TE,NO,6,Moliki Matavao,,,,73,Oscar Delp
Malachi Fields,WR,NYG,3,Darnell Mooney,26,,,74,Malachi Fields
Zachariah Branch,WR,ATL,2,Drake London,185,,,79,Zachariah Branch
Chris Brazzell,WR,CAR,3,Jalen Coker,123,,,83,Chris Brazzell II
Ted Hurst,WR,TB,4,Jalen McMillan,73,,,84,Ted Hurst
Zavion Thomas,WR,CHI,8,Jahdae Walker,,,,89,Zavion Thomas
Kaelon Black,RB,SF,8,Jordan James,,,,90,Kaelon Black
Cade Klubnik,QB,NYJ,3,Brady Cook,,,,110,Cade Klubnik
Bryce Lance,WR,NO,11,Damien Alford,,,,8,Jordyn Tyson
Colbie Young,WR,CIN,11,Dohnte Meyers,,,,140,Colbie Young
Reggie Virgil,WR,ARI,11,Bryson Green,,,,143,Reggie Virgil
Justin Joly,TE,DEN,4,Caleb Lohner,,,,152,Justin Joly
Max Bredeson,RB,MIN,6,Zavier Scott,,,,198,Demond Claiborne
Tanner Koziol,TE,JAX,5,Patrick Herbert,,,,56,Nate Boerkircher
Joe Royer,TE,CLE,5,Brenden Bates,,,,170,Joe Royer
Taylen Green,QB,CLE,3,Dillon Gabriel,,,,182,Taylen Green
Bauer Sharp,TE,TB,5,Devin Culp,,,,185,Bauer Sharp
Kaytron Allen,RB,WAS,3,Jacory Croskey-Merritt,76,,,187,Kaytron Allen
Josh Cameron,WR,JAX,8,Chandler Brayboy,,,,191,Josh Cameron
Demond Claiborne,RB,MIN,3,Jordan Mason,82,,,198,Demond Claiborne
C.J. Williams,WR,JAX,9,Josh Cameron,,,,191,Josh Cameron
Jack Endries,TE,CIN,5,Erick All,,,,221,Jack Endries
Athan Kaliakmanis,QB,WAS,4,Sam Hartman,,,,223,Athan Kaliakmanis
Behren Morton,QB,NE,3,Tommy DeVito,,,,234,Behren Morton
Seth McGowan,RB,IND,6,DJ Giddens,,,,237,Seth McGowan
Jam Miller,RB,NE,8,Lan Larison,,,,245,Jam Miller
Carsen Ryan,TE,CLE,6,Joe Royer,,,,170,Joe Royer
Deion Burks,WR,IND,10,Coleman Owen,,,,254,Deion Burks
Dallen Bentley,TE,DEN,5,Justin Joly,,,,152,Justin Joly
Damon Bankston,RB,NYG,6,Dante Miller,,,,,
Haynes King,QB,CAR,4,Kenny Pickett,,,,,
Kobe Prentice,WR,CAR,11,Ja'Seem Reed,,,,83,Chris Brazzell II
Mark Gronowski,QB,MIA,4,Quinn Ewers,,,,,
Anthony Hankerson,RB,MIA,5,Donovan Edwards,,,,,
Donaven McCulley,WR,MIA,7,Theo Wease Jr.,,,,75,Caleb Douglas
Le'Veon Moss,RB,MIA,6,Anthony Hankerson,,,,,
Coleman Bennett,RB,CHI,6,Roschon Johnson,,,,,
Omari Kelly,WR,CHI,9,Zavion Thomas,,,,89,Zavion Thomas
Hayden Large,TE,CHI,6,Qadir Ismail,,,,69,Sam Roush
Miller Moss,QB,CHI,4,Tyson Bagent,,,,,
Jaden Bradley,WR,WAS,10,Nick Nash,,,,71,Antonio Williams
Robert Henry,RB,WAS,5,Jeremy McNichols,,,,187,Kaytron Allen
Chris Hilton,WR,WAS,11,Jaden Bradley,,,,71,Antonio Williams
Quentin Moore,TE,WAS,7,Ben Sinnott,,,,,
Vinny Anthony,WR,ATL,7,Casey Washington,,,,79,Zachariah Branch
Le'Meke Brockington,WR,ATL,8,Vinny Anthony,,,,79,Zachariah Branch
Cash Jones,RB,ATL,5,Nate Carter,,,,,
Jack Strand,QB,ATL,4,Trevor Siemian,,,,,
Jack Velling,TE,ATL,5,Joshua Simon,,,,,
Caullin Lacy,WR,NYJ,10,Arian Smith,,,,30,Omar Cooper Jr.
Sam Scott,RB,NYJ,5,Kene Nwangwu,,,,,
D.T. Sheffield,WR,NYJ,11,Caullin Lacy,,,,30,Omar Cooper Jr.
Joey Aguilar,QB,JAX,4,Carter Bradley,,,,,
Brady Boyd,WR,JAX,10,C.J. Williams,,,,191,Josh Cameron
Alex Bullock,WR,JAX,14,Michael Wortham,,,,191,Josh Cameron
Ethan Conner,TE,JAX,6,Tanner Koziol,,,,56,Nate Boerkircher
Ben Patterson,WR,JAX,11,Brady Boyd,,,,191,Josh Cameron
Trebor Pena,WR,JAX,12,Ben Patterson,,,,191,Josh Cameron
J'mari Taylor,RB,JAX,5,DeeJay Dallas,,,,,
Michael Wortham,WR,JAX,13,Trebor Pena,,,,191,Josh Cameron
Jackson Acker,RB,BUF,5,Frank Gore Jr.,,,,,
Gabriel Benyard,WR,BUF,11,Stephen Gosnell,,,,125,Skyler Bell
Sahmir Hagans,WR,IND,11,Deion Burks,,,,254,Deion Burks
E.J. Horton,WR,IND,12,Sahmir Hagans,,,,254,Deion Burks
Lincoln Pare,RB,IND,3,Ulysses Bentley IV,,,,237,Seth McGowan
Raylen Sharpe,WR,IND,13,E.J. Horton,,,,254,Deion Burks
Chase Curtis,TE,NYJ,5,Jeremy Ruckert,,,,16,Kenyon Sadiq
Chip Trayanum,RB,NYJ,6,Sam Scott,,,,,
Kentrel Bullock,RB,CIN,5,Tahj Brooks,,,,,
Jamal Haynes,RB,CIN,6,Kentrel Bullock,,,,,
Josh Kattus,TE,CIN,6,Jack Endries,,,,221,Jack Endries
Noah Thomas,WR,CIN,12,Colbie Young,,,,140,Colbie Young
Jalon Daniels,QB,TB,4,Connor Bazelak,,,,,
Kenny Fletcher,TE,TB,6,Bauer Sharp,,,,185,Bauer Sharp
Eric Rivers,WR,TB,10,Garrett Greene,,,,84,Ted Hurst
Lake McRee,TE,PIT,4,JJ Galbreath,,,,169,Riley Nowakowski
Squirrel White,WR,CHI,10,Omari Kelly,,,,89,Zavion Thomas
Keelan Marion,WR,ATL,9,Le'Meke Brockington,,,,79,Zachariah Branch
Malik McClain,WR,NYJ,12,D.T. Sheffield,,,,30,Omar Cooper Jr.
Ja'Mori Maclin,WR,BUF,12,Gabriel Benyard,,,,125,Skyler Bell
Desmond Reid,RB,BUF,6,Jackson Acker,,,,,
Davon Booth,RB,CLE,5,Raheim Sanders,,,,,
T.J. Harden,RB,CLE,6,Davon Booth,,,,,
Kole Wilson,WR,CLE,12,Isaiah Bond,,,,24,KC Concepcion
Kolbe Katsis,WR,DEN,9,Mike Woods,,,,,
Dane Key,WR,DEN,10,Kolbe Katsis,,,,,
Joseph Manjack,WR,DEN,11,Dane Key,,,,,
Cam Ross,WR,DEN,12,Joseph Manjack,,,,,
Josh Pitsenberger,RB,HOU,6,British Brooks,,,,,
Treyvhon Saunders,WR,HOU,10,Josh Kelly,,,,204,Lewis Bond
Daniel Sobkowicz,WR,HOU,11,Treyvhon Saunders,,,,204,Lewis Bond
Jalen Walthall,WR,NYJ,13,Malik McClain,,,,30,Omar Cooper Jr.
Noah Whittington,RB,HOU,7,Josh Pitsenberger,,,,,
Tanner Arkin,TE,NE,4,CJ Dippre,,,,95,Eli Raridon
Nick DeGennaro,WR,NE,9,Jeremiah Webb,,,,,
Kyle Dixon,WR,NE,10,Nick DeGennaro,,,,,
Cameron Dorner,WR,NE,11,Kyle Dixon,,,,,
Jimmy Kibble,WR,NE,12,Cameron Dorner,,,,,
Myles Montgomery,RB,NE,9,Jam Miller,,,,245,Jam Miller
C.J. Donaldson,RB,NO,7,Audric Estimé,,,,,
Cody Hardy,TE,NO,7,Oscar Delp,,,,73,Oscar Delp
Dillon Bell,WR,MIN,9,Michael Briscoe,,,,,
Kejon Owens,RB,MIN,7,Max Bredeson,,,,198,Demond Claiborne
Marcus Sanders,WR,MIN,10,Dillon Bell,,,,,
Luke Wysong,WR,MIN,11,Marcus Sanders,,,,,
Khalil Dinkins,TE,SF,6,Hayden Rucci,,,,,
Wesley Grimes,WR,SF,11,Junior Bergen,,,,33,De'Zhaun Stribling
Will Pauling,WR,SF,12,Wesley Grimes,,,,33,De'Zhaun Stribling
Jameson Geers,TE,ARI,6,Rivaldo Fairweather,,,,,
Harrison Wallace,WR,ARI,12,Reggie Virgil,,,,143,Reggie Virgil
Jerand Bradley,WR,LAC,9,Dalevon Campbell,,,,105,Brenen Thompson
Sincere Brown,WR,LAC,10,Jerand Bradley,,,,105,Brenen Thompson
Gregory Desrosiers,RB,LAC,8,Amar Johnson,,,,,
Devonte Ross,WR,LAC,11,Sincere Brown,,,,105,Brenen Thompson
Evan Svoboda,TE,LAC,4,Charlie Kolar,,,,,
Eli Raridon,TE,NE,5,Tanner Arkin,,,,95,Eli Raridon
Kaden Wetjen,WR,PIT,9,Roman Wilson,,,,47,Germie Bernard
Riley Nowakowski,TE,PIT,5,Lake McRee,,,,169,Riley Nowakowski
C.J. Daniels,WR,LA,10,Tru Edwards,,,,197,CJ Daniels
Rohan Jones,TE,LA,7,Mark Redman,,,,61,Max Klare
Kyron Hudson,WR,CHI,11,Squirrel White,,,,89,Zavion Thomas
Matthew Caldwell,QB,LA,4,Stetson Bennett,,,,13,Ty Simpson
Dean Connors,RB,LA,6,Jordan Waters,,,,,
Dan Villari,TE,LA,8,Rohan Jones,,,,61,Max Klare
Kadarius Calloway,RB,TB,5,Josh Williams,,,,,
Dean Patterson,WR,TB,11,Eric Rivers,,,,84,Ted Hurst
D.J. Herman,RB,MIA,7,Le'Veon Moss,,,,,
Carnell Tate,WR,TEN,1,,,Wan'Dale Robinson,5,4,Carnell Tate
Skyler Bell,WR,BUF,13,Ja'Mori Maclin,,,,125,Skyler Bell
Kendrick Law,WR,DET,10,Jackson Meeks,,,,168,Kendrick Law
Brock Rechsteiner,WR,NO,12,Bryce Lance,,,,8,Jordyn Tyson
Johnny Pascuzzi,TE,LAC,5,Evan Svoboda,,,,,
Luke Altmyer,QB,DET,3,Teddy Bridgewater,,,,,
Miles Kitselman,TE,DET,6,Thomas Gordon,,,,,
Lewis Bond,WR,HOU,12,Daniel Sobkowicz,,,,204,Lewis Bond
Marlin Klein,TE,HOU,6,Layne Pryor,,,,59,Marlin Klein
Mante Morrow,WR,LAC,12,Devonte Ross,,,,105,Brenen Thompson
Trayvon Rudolph,WR,MIN,12,Luke Wysong,,,,,
Rashad Rochelle,WR,SEA,12,Emmanuel Henderson,,,,199,Emmanuel Henderson Jr.
Terrill Davis,WR,MIN,13,Trayvon Rudolph,,,,,
Eli Stowers,TE,PHI,2,Dallas Goedert,85,,,54,Eli Stowers
Miles Davis,RB,CAR,5,Trevor Etienne,,,,,
Anderson Castle,RB,IND,4,Lincoln Pare,,,,237,Seth McGowan
Germie Bernard,WR,PIT,3,Michael Pittman,132,,,47,Germie Bernard
Eli Heidenreich,RB,PIT,7,Max Hurleman,,,,,
Aaron Anderson,WR,CLE,4,Denzel Boston,92,,,24,KC Concepcion
Jonah Coleman,RB,DEN,3,RJ Harvey,38,,,108,Jonah Coleman
Nate Boerkircher,TE,JAX,7,Ethan Conner,,,,56,Nate Boerkircher
Max Klare,TE,LA,3,Colby Parkinson,42,,,61,Max Klare
Omar Cooper,WR,NYJ,2,Garrett Wilson,129,Adonai Mitchell,2,30,Omar Cooper Jr.
Jadarian Price,RB,SEA,1,,,Zach Charbonnet,71,32,Jadarian Price
Romello Brinson,WR,DAL,14,Jordan Hudson,,,,218,Anthony Smith
Caleb Douglas,WR,MIA,10,A.J. Henning,,,,75,Caleb Douglas
Will Kacmarek,TE,MIA,3,Ben Sims,,,,87,Will Kacmarek
Chris Bell,WR,MIA,1,,,,,75,Caleb Douglas
Kevin Coleman,WR,MIA,8,Donaven McCulley,,,,75,Caleb Douglas
Louis Hansen,TE,HOU,7,Marlin Klein,,,,59,Marlin Klein
Kyre Duplessis,WR,DET,11,Kendrick Law,,,,168,Kendrick Law
Malick Meiga,WR,CAR,12,Kobe Prentice,,,,83,Chris Brazzell II
K.C. Concepcion,WR,CLE,1,,,Jerry Jeudy,9,24,KC Concepcion
Fernando Mendoza,QB,LV,1,,,,,1,Fernando Mendoza
Ty Simpson,QB,LA,2,Matthew Stafford,159,,,13,Ty Simpson
Carson Beck,QB,ARI,4,Kedon Slovis,,,,65,Carson Beck
Sam Roush,TE,CHI,7,Hayden Large,,,,69,Sam Roush
Drew Allar,QB,PIT,3,Will Howard,,,,76,Drew Allar
Brenen Thompson,WR,LAC,13,Mante Morrow,,,,105,Brenen Thompson
