name,pos,pred_ppg,ppg,age,cap_pct,room_share,room_rank,room_ahead,room_ahead_gap,room_behind,room_behind_gap,rook_pick,rook_name
Chris Olave,WR,13.40486589770416,16.1875,26.17932922655715,3.0,0.5367161683096603,1,,,Jordyn Tyson,65,8,Jordyn Tyson
Josh Jacobs,RB,13.253398267892804,15.066666666666666,28.553045859000683,4.6,0.7308207658642788,1,,,,,,
Tyler Shough,QB,13.252772356238589,13.545454545454545,26.926762491444215,0.8,0.5034855779088173,1,,,,,,
D'Andre Swift,RB,13.09990158532636,13.375,27.630390143737166,2.8,0.6605370037878706,1,,,Kyle Monangai,54,,
Garrett Wilson,WR,13.039390156692747,14.0,26.11088295687885,3.1,0.5550256533884884,1,,,Adonai Mitchell,130,30,Omar Cooper Jr.
J.J. McCarthy,QB,12.885172839142573,11.7,23.613963039014372,1.9,0.5265960003293656,2,Kyler Murray,72,,,,
Cam Ward,QB,12.861003781449416,10.176470588235293,24.27104722792608,3.2,0.5683211243141882,1,,,,,,
Tee Higgins,WR,12.753807339868468,13.733333333333333,27.619438740588638,8.4,0.42329102515374345,2,Ja'Marr Chase,36,,,140,Colbie Young
Zay Flowers,WR,12.711989847891974,13.588235294117647,25.971252566735114,1.4,0.3027890088458941,1,,,Rashod Bateman,120,80,Ja'Kobi Lane
Omarion Hampton,RB,12.686186254231668,14.222222222222221,23.463381245722108,1.3,0.27419579705694613,1,,,Keaton Mitchell,142,,
Javonte Williams,RB,12.6293101155341,14.375,26.351813826146476,1.2,0.3494285920056582,1,,,Jaydon Blue,117,,
Courtland Sutton,WR,12.528707370712011,12.470588235294118,30.89390828199863,4.6,0.46483672339836724,2,Jaylen Waddle,10,Troy Franklin,124,,
Tetairoa McMillan,WR,12.505407856386675,12.0,23.408624229979466,2.0,0.29885344387025486,1,,,Jalen Coker,92,83,Chris Brazzell II
Jacoby Brissett,QB,12.286990627668324,15.428571428571429,33.72210814510609,3.2,0.6075615474794841,1,,,,,65,Carson Beck
A.J. Brown,WR,12.171514980250628,14.266666666666667,29.17180013689254,2.0,0.22229224287536786,1,,,Romeo Doubs,91,,
Marcus Mariota,QB,12.156543804099746,11.6,32.837782340862425,2.2,0.39378652081615095,2,Jayden Daniels,,,,223,Athan Kaliakmanis
Jameson Williams,WR,12.131217155991372,12.294117647058824,25.43463381245722,2.6,0.1680959989001994,2,Amon-Ra St. Brown,38,Isaac TeSlaa,118,168,Kendrick Law
Brock Bowers,TE,12.110165274259545,14.083333333333334,23.718001368925393,1.6,0.37103344058455223,1,,,,,,
Quinshon Judkins,RB,12.055370505546936,11.357142857142858,22.84188911704312,0.8,0.3780826202857851,1,,,Dylan Sampson,114,,
