,Name,Team,BYE,Pos,ADP,FantasyPros,FLEA,FLEAvFP,Landmine,Round,Pick
,Tyler Lockett,TEN,10,WR,264,218,242,0.11,5.9,,214
,Jarquez Hunter,LAR,8,RB,262,207,243,0.17,5.3,,215
,Sean Tucker,TB,9,RB,255,224,246,0.1,5.5,,216
,Devin Neal,NO,11,RB,291,221,247,0.12,6.7,,217
,Daniel Jones,IND,11,QB,273,194,249,0.28,4.8,,218
,Chris Rodriguez,WAS,12,RB,238,187,251,0.34,2.9,,219
,Dyami Brown,JAC,8,WR,280,222,252,0.14,5.9,,220
,Russell Wilson,NYG,14,QB,268,216,253,0.17,5.1,,221
,Anthony Richardson,IND,11,QB,258,214,258,0.21,4.2,,222
,Tory Horton,SEA,8,WR,249,225,261,0.16,4.1,,223
,Brashard Smith,KC,10,RB,275,219,269,0.23,4.2,,224
,Dameon Pierce,HOU,6,RB,230,195,290,0.49,0,,225
