,Name,Team,BYE,Pos,ADP,FantasyPros,ESPN PPR,Sleeper PPR,Y PPR,Average,AVGvFP,Landmine,Round,Pick
,Daniel Jones,IND,13,QB,155,168,137,,158,147.5,-0.12,2.9,,144
,Alvin Kamara,NO,8,RB,142,133,139,156,149,148,0.11,5.7,13,145
,Adonai Mitchell,NYJ,13,WR,158,159,148,,150,149,-0.06,2.7,,146
,Jalen McMillan,TB,10,WR,154,175,144,,155,149.5,-0.15,2.8,,147
,Isiah Pacheco,DET,6,RB,147,150,140,168,142,150,0,5.7,,148
,Brenton Strange,JAC,7,TE,160,136,170,126,157,151,0.11,5.1,,149
,Keaton Mitchell,LAC,7,RB,161,151,168,,134,151,0,2.4,,150
,Tyjae Spears,TEN,9,RB,150,140,166,153,139,152.7,0.09,5.3,,151
,Juwan Johnson,NO,8,TE,145,134,160,133,168,153.7,0.15,5.4,,152
,Tank Bigsby,PHI,10,RB,159,155,143,184,141,156,0.01,5.7,,153
,Jalen Nailor,LV,13,WR,169,193,161,,152,156.5,-0.19,2.5,,154
,Denzel Boston,CLE,11,WR,133,173,147,149,177,157.7,-0.09,5.7,,155
,T.J. Hockenson,MIN,6,TE,141,172,112,,205,158.5,-0.08,3.4,,156
,Chig Okonkwo,WAS,7,TE,175,170,192,147,138,159,-0.06,4.9,14,157
,Dylan Sampson,CLE,11,RB,181,137,158,166,156,160,0.17,5.5,,158
,Omar Cooper,NYJ,13,WR,137,166,162,,163,162.5,-0.02,2.5,,159
,Ray Davis,BUF,7,RB,177,184,154,,172,163,-0.11,2.6,,160
,Mike Washington,LV,13,RB,163,215,156,,170,163,-0.24,2.6,,161
,Jauan Jennings,MIN,6,WR,152,142,164,148,179,163.7,0.15,5.5,,162
,Jonah Coleman,DEN,10,RB,132,186,188,,140,164,-0.12,2,,163
,Kenyon Sadiq,NYJ,13,TE,144,200,117,,211,164,-0.18,3.3,,164
,Braelon Allen,NYJ,13,RB,156,153,167,175,154,165.3,0.08,5.5,,165
,C.J. Stroud,HOU,8,QB,168,129,176,160,161,165.7,0.28,5.3,,166
,Jerry Jeudy,CLE,11,WR,148,147,131,172,195,166,0.13,6.2,,167
,Calvin Ridley,TEN,9,WR,176,198,145,,196,170.5,-0.14,2.8,,168
,Tre Tucker,LV,13,WR,167,154,153,198,166,172.3,0.12,5.9,15,169
,Sam Darnold,SEA,11,QB,178,138,194,164,165,174.3,0.26,5.1,,170
,James Conner,ARI,14,RB,162,174,171,154,199,174.7,0,5.6,,171
,Cam Ward,TEN,9,QB,170,144,175,,175,175,0.22,2.2,,172
,Deebo Samuel,SF,8,WR,182,158,179,162,191,177.3,0.12,5.5,,173
,Bryce Young,CAR,5,QB,189,152,195,,162,178.5,0.17,1.8,,174
,Emmett Johnson,KC,5,RB,151,212,,,181,181,-0.15,2.1,,175
,Ryan Flournoy,DAL,14,WR,199,162,181,,193,187,0.15,2.1,,176
,Dalton Schultz,HOU,8,TE,172,163,183,135,243,187,0.15,5.6,,177
,Isaac TeSlaa,DET,6,WR,192,178,187,,192,189.5,0.06,2,,178
,Jacoby Brissett,ARI,14,QB,219,179,,194,188,191,0.07,5.5,,179
,Tre' Harris,LAC,7,WR,186,169,180,,203,191.5,0.13,2.1,,180
,Jaylin Noel,HOU,8,WR,179,167,184,,204,194,0.16,2.1,16,181
,Terrance Ferguson,LAR,11,TE,173,207,159,,232,195.5,-0.06,2.5,,182
,AJ Barner,SEA,11,TE,201,188,193,,200,196.5,0.05,1.9,,183
,Justice Hill,BAL,13,RB,215,204,172,,222,197,-0.03,2.3,,184
,Kimani Vidal,LAC,7,RB,200,171,199,181,221,200.3,0.17,5.5,,185
,Jaydon Blue,DAL,14,RB,233,213,215,,187,201,-0.06,1.5,,186
,Sean Tucker,TB,10,RB,223,177,,186,218,202,0.14,5.5,,187
,Ollie Gordon,MIA,6,RB,249,220,202,,,202,-0.08,1,,188
,Emanuel Wilson,SEA,11,RB,226,182,,195,215,205,0.13,5.5,,189
,Rashod Bateman,BAL,13,WR,191,195,163,,247,205,0.05,2.4,,190
,Kayshon Boutte,NE,11,WR,214,164,207,178,231,205.3,0.25,5.5,,191
,Brandon Aiyuk,SF,8,WR,196,189,208,,213,210.5,0.11,1.6,,192
,Tank Dell,HOU,8,WR,210,199,165,,256,210.5,0.06,2.4,17,193
,George Holani,SEA,11,RB,,210,216,,207,211.5,0.01,1.5,,194
,LeQuint Allen,JAC,7,RB,,221,213,,,213,-0.04,1,,195
,Malik Washington,MIA,6,WR,228,191,203,,227,215,0.13,1.7,,196
,Pat Bryant,DEN,10,WR,222,181,,209,225,217,0.2,5.5,,197
,Darnell Mooney,NYG,8,WR,183,176,177,,260,218.5,0.24,2.2,,198
,Chimere Dike,TEN,9,WR,188,180,,,220,220,0.22,1.4,,199
,Jaylen Wright,MIA,6,RB,221,190,201,,242,221.5,0.17,1.7,,200
