,Name,Team,BYE,Pos,ADP,FantasyPros,CBS,CBSvFP,Landmine,Round,Pick
,Jalen Coker,CAR,5,WR,127,130,143,0.1,5,12,133
,Brenton Strange,JAC,7,TE,161,154,144,-0.06,6.5,,134
,Jordan Love,GB,11,QB,152,115,146,0.27,4.7,,135
,Rashid Shaheed,SEA,11,WR,133,143,148,0.03,4.8,,136
,Tyler Allgeier,ARI,14,RB,136,136,149,0.1,4.5,,137
,Sam Darnold,SEA,11,QB,166,137,150,0.09,5.6,,138
,Tyrone Tracy,NYG,8,RB,151,153,151,-0.01,5.6,,139
,Tyjae Spears,TEN,9,RB,140,133,152,0.14,4.3,,140
,Jonah Coleman,DEN,10,RB,141,147,153,0.04,4.9,,141
,Tyler Shough,NO,8,QB,138,116,154,0.33,3.5,,142
,Jordyn Tyson,NO,8,WR,103,135,157,0.16,2.7,,143
,Isiah Pacheco,DET,6,RB,154,166,158,-0.05,5.7,,144
,Dalton Schultz,HOU,8,TE,180,151,159,0.05,6,13,145
,Hunter Henry,NE,11,TE,130,156,160,0.03,4.2,,146
,Khalil Shakir,BUF,7,WR,117,123,162,0.32,2.4,,147
,Daniel Jones,IND,13,QB,147,142,163,0.15,4.6,,148
,Tre Tucker,LV,13,WR,159,149,164,0.1,4.8,,149
,Malik Willis,MIA,6,QB,146,132,165,0.25,3.6,,150
,Ja'Kobi Lane,BAL,13,WR,162,190,167,-0.12,6.2,,151
,C.J. Stroud,HOU,8,QB,170,138,168,0.22,4.8,,152
,Denzel Boston,CLE,11,WR,137,148,169,0.14,3.5,,153
,Tank Bigsby,PHI,10,RB,157,161,170,0.06,4.7,,154
,Keaton Mitchell,LAC,7,RB,148,146,171,0.17,3.7,,155
,Kaelon Black,SF,8,RB,198,214,174,-0.19,7.9,,156
,Dylan Sampson,CLE,11,RB,156,141,175,0.24,3.5,,157
,Alvin Kamara,NO,8,RB,143,155,177,0.14,3.4,,158
,Braelon Allen,NYJ,13,RB,176,175,178,0.02,5.3,,159
,Jerry Jeudy,CLE,11,WR,150,157,180,0.15,3.8,,160
,Keenan Allen,IND,13,WR,168,174,182,0.05,4.7,,161
,Brian Robinson,ATL,11,RB,145,165,183,0.11,3.4,,162
,Kenyon Sadiq,NYJ,13,TE,158,201,186,-0.07,5,,163
,Emmett Johnson,KC,5,RB,167,164,187,0.14,3.9,,164
,Kayshon Boutte,HOU,8,WR,196,158,191,0.21,4.5,,165
,T.J. Hockenson,MIN,6,TE,142,168,194,0.15,2.6,,166
,Calvin Ridley,TEN,9,WR,177,185,196,0.06,4.4,,167
,Cade Otton,TB,10,TE,244,203,197,-0.03,7.5,,168
,Tank Dell,HOU,8,WR,153,193,198,0.03,3.6,,169
,Greg Dulcich,MIA,6,TE,233,218,199,-0.09,7.5,,170
,AJ Barner,SEA,11,TE,193,188,204,0.09,4.8,,171
,Cooper Kupp,SEA,11,WR,218,194,206,0.06,5.5,,172
,Jauan Jennings,MIN,6,WR,178,162,212,0.31,3.4,,173
,Jalen Nailor,LV,13,WR,164,173,213,0.23,3.3,,174
