,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,QUARTERBACKS,,,,,,,,,RUNING BACKS,,,,,,,,,WIDE RECEIVERS,,,,,
,Rank,Pos,NAME,TEAM,ADP,PROJ,VALUE,% PROJ,,Rank,Pos,NAME,TEAM,ADP,PROJ,VALUE,% PROJ,,Rank,Pos,NAME,TEAM,ADP,PROJ,VALUE,% PROJ
,22,QB22,C.J. Stroud,HOU / 8,23,249.04,0.04545454545,0.7268906337,,22,RB22,Travis Etienne,NO / 8,19,191.41,-0.1363636364,0.6057661877,,22,WR22,Jameson Williams,DET / 6,24,172.14,0.09090909091,0.6382410737
,23,QB23,Sam Darnold,SEA / 11,22,236.34,-0.04347826087,0.6898222469,,23,RB23,D'Andre Swift,CHI / 10,24,188.74,0.04347826087,0.5973162858,,23,WR23,Emeka Egbuka,TB / 10,19,167.51,-0.1739130435,0.6210744874
,24,QB24,Daniel Jones,IND / 13,25,231.27,0.04166666667,0.6750240799,,24,RB24,Rhamondre Stevenson,NE / 11,29,178.82,0.2083333333,0.5659218938,,24,WR24,Mike Evans,SF / 8,27,165.2,0.125,0.6125097327
,,,,,,,,,,25,RB25,Bhayshul Tuten,JAX / 7,79,177.79,2.16,0.5626621938,,25,WR25,Luther Burden,CHI / 10,21,164.65,-0.16,0.6104705054
,,,TIGHT ENDS,,,,,,,26,RB26,Jaylen Warren,PIT / 9,26,175.03,0,0.5539274638,,26,WR26,Malik Nabers,NYG / 8,16,164.1,-0.3846153846,0.608431278
,Rank,,NAME,TEAM,ADP,PROJ,VALUE,% PROJ,,27,RB27,TreVeyon Henderson,NE / 11,21,172.12,-0.2222222222,0.5447180201,,27,WR27,Christian Watson,GB / 11,30,162.03,0.1111111111,0.600756368
,1,TE1,Brock Bowers,LV / 13,2,188.44,1,1,,28,RB28,Tony Pollard,TEN / 9,31,171.9,0.1071428571,0.5440217735,,28,WR28,DJ Moore,BUF / 7,25,160.99,-0.1071428571,0.5969003745
,2,TE2,Trey McBride,ARI / 14,1,178.85,-0.5,0.9491084695,,29,RB29,Jadarian Price,SEA / 11,25,168.12,-0.1379310345,0.5320589911,,29,WR29,Rome Odunze,CHI / 10,29,157.11,0,0.5825145527
,3,TE3,Colston Loveland,CHI / 10,3,158.53,0,0.8412757376,,30,RB30,Chuba Hubbard,CAR / 5,28,162.4,-0.06666666667,0.5139565795,,30,WR30,DK Metcalf,PIT / 9,35,155.21,0.1666666667,0.5754699492
,4,TE4,Tyler Warren,IND / 13,4,157.65,0,0.8366058162,,31,RB31,Rico Dowdle,PIT / 9,32,161.68,0.03225806452,0.5116779543,,31,WR31,Brian Thomas,JAX / 7,31,152.8,0,0.5665344259
,5,TE5,Tucker Kraft,GB / 11,6,149.28,0.2,0.792188495,,32,RB32,Kenneth Gainwell,TB / 10,79,150.67,1.46875,0.4768339768,,32,WR32,Michael Pittman,PIT / 9,43,151.53,0.34375,0.5618256646
,6,TE6,Harold Fannin,CLE / 11,5,141.67,-0.1666666667,0.7518042878,,33,RB33,Aaron Jones,MIN / 6,36,143.97,0.09090909091,0.4556301032,,33,WR33,Parker Washington,JAX / 7,39,149.71,0.1818181818,0.555077676
,7,TE7,Kyle Pitts,ATL / 11,7,139.49,0,0.7402356188,,34,RB34,J.K. Dobbins,DEN / 10,33,139.36,-0.02941176471,0.4410405722,,34,WR34,Courtland Sutton,DEN / 10,38,147.85,0.1176470588,0.54818138
,8,TE8,Sam LaPorta,DET / 6,8,137.31,0,0.7286669497,,35,RB35,Kyle Monangai,CHI / 10,30,138.12,-0.1428571429,0.4371162732,,35,WR35,Carnell Tate,TEN / 9,28,147.67,-0.2,0.5475139965
,9,TE9,Travis Kelce,KC / 5,13,133.9,0.4444444444,0.710571004,,36,RB36,Blake Corum,LAR / 11,34,136.3,-0.05555555556,0.431356415,,36,WR36,Alec Pierce,IND / 13,36,145.04,0,0.5377627822
,10,TE10,Mark Andrews,BAL / 13,14,133.57,0.4,0.7088197835,,37,RB37,RJ Harvey,DEN / 10,27,135.51,-0.2702702703,0.4288562567,,37,WR37,Quentin Johnston,LAC / 7,46,140.57,0.2432432432,0.5211894257
,11,TE11,George Kittle,SF / 8,10,129.41,-0.09090909091,0.6867437911,,38,RB38,Rachaad White,WAS / 7,39,135.13,0.02631578947,0.427653649,,38,WR38,Chris Godwin,TB / 10,41,139.49,0.07894736842,0.5171851248
,12,TE12,Dallas Goedert,PHI / 10,15,126.77,0.25,0.6727340267,,39,RB39,Jonathon Brooks,CAR / 5,35,125.15,-0.1025641026,0.3960693715,,39,WR39,Jayden Reed,GB / 11,47,139.47,0.2051282051,0.517110971
,13,TE13,Jake Ferguson,DAL / 14,12,124.05,-0.07692307692,0.6582997241,,40,RB40,Isiah Pacheco,DET / 6,58,125.08,0.45,0.3958478385,,40,WR40,Michael Wilson,ARI / 14,37,138.21,-0.075,0.5124392866
,14,TE14,Isaiah Likely,NYG / 8,17,123.14,0.2142857143,0.6534706007,,41,RB41,Jordan Mason,MIN / 6,42,114.98,0.0243902439,0.3638837901,,41,WR41,Jordyn Tyson,NO / 8,32,138.03,-0.2195121951,0.5117719032
,15,TE15,Dalton Kincaid,BUF / 7,9,119.15,-0.4,0.6322967523,,42,RB42,Jacory Croskey-Merritt,WAS / 7,37,112.62,-0.119047619,0.356414963,,42,WR42,Jakobi Meyers,JAX / 7,42,137.23,0,0.5088057543
,16,TE16,Brenton Strange,JAX / 7,18,112.52,0.125,0.5971131395,,43,RB43,Chris Rodriguez,JAX / 7,47,111.13,0.09302325581,0.3516994747,,43,WR43,Marvin Harrison,ARI / 14,33,136.82,-0.2325581395,0.5072856031
,17,TE17,Hunter Henry,NE / 11,16,112.3,-0.05882352941,0.5959456591,,44,RB44,Tyjae Spears,TEN / 9,48,106.89,0.09090909091,0.3382809039,,44,WR44,Makai Lemon,PHI / 10,34,134.86,-0.2272727273,0.5000185384
,18,TE18,Juwan Johnson,NO / 8,20,108.8,0.1111111111,0.5773721078,,45,RB45,Tyrone Tracy,NYG / 8,44,101.91,-0.02222222222,0.3225204127,,45,WR45,Jordan Addison,MIN / 6,44,134.67,-0.02222222222,0.4993140781
,19,TE19,Kenyon Sadiq,NYJ / 13,19,107.17,0,0.5687221397,,46,RB46,Woody Marks,HOU / 8,46,99.04,0,0.3134375593,,46,WR46,Josh Downs,IND / 13,51,132.98,0.1086956522,0.4930480887
,20,TE20,Dalton Schultz,HOU / 8,21,106.73,0.05,0.5663871789,,47,RB47,Brian Robinson,ATL / 11,45,96.67,-0.04255319149,0.3059370846,,47,WR47,Wan'Dale Robinson,TEN / 9,45,131.36,-0.04255319149,0.4870416373
,,,,,,,,,,48,RB48,Dylan Sampson,CLE / 11,49,94.07,0.02083333333,0.2977087157,,48,WR48,Romeo Doubs,NE / 11,48,128.05,0,0.4747691965
,,,,,,,,,,49,RB49,Justice Hill,BAL / 13,79,90.84,0.612244898,0.2874865498,,49,WR49,Xavier Worthy,KC / 5,50,125.03,0.02040816327,0.4635719847
,,,,,,,,,,50,RB50,Alvin Kamara,NO / 8,52,89.67,0.04,0.2837837838,,50,WR50,Jayden Higgins,HOU / 8,52,124.7,0.04,0.4623484483
,,,,,,,,,,51,RB51,Zach Charbonnet,SEA / 11,41,87.38,-0.1960784314,0.2765364897,,51,WR51,Matthew Golden,GB / 11,54,123.37,0.05882352941,0.4574172259
,,,,,,,,,,52,RB52,Tyler Allgeier,ARI / 14,40,85.67,-0.2307692308,0.2711247547,,52,WR52,Khalil Shakir,BUF / 7,53,121.69,0.01923076923,0.4511883134
,,,,,,,,,,53,RB53,Tank Bigsby,PHI / 10,57,70.51,0.07547169811,0.2231470346,,53,WR53,KC Concepcion,CLE / 11,49,119.45,-0.07547169811,0.4428830967
,,,,,,,,,,54,RB54,Keaton Mitchell,LAC / 7,55,68.85,0.01851851852,0.2178935376,,54,WR54,Ricky Pearsall,SF / 8,40,113.67,-0.2592592593,0.4214526714
,,,,,,,,,,55,RB55,Braelon Allen,NYJ / 13,53,66.24,-0.03636363636,0.2096335211,,55,WR55,Rashid Shaheed,SEA / 11,60,110.46,0.09090909091,0.4095509992
,,,,,,,,,,56,RB56,Mike Washington,LV / 13,54,66.07,-0.03571428571,0.2090955124,,56,WR56,Jalen Coker,CAR / 5,55,109.28,-0.01785714286,0.4051759297
,,,,,,,,,,57,RB57,Jonah Coleman,DEN / 10,43,63.74,-0.2456140351,0.201721628,,57,WR57,Tre Tucker,LV / 13,67,106.12,0.1754385965,0.3934596418
