,Name,Team,BYE,Pos,ADP,FantasyPros,ESPN,ESPNvFP,Landmine,Round,Pick
,Xavier Worthy,KC,5,WR,121,122,115,-0.06,5.7,,115
,Kyle Monangai,CHI,10,RB,88,85,116,0.36,3.3,,116
,Kenyon Sadiq,NYJ,13,TE,162,197,117,-0.41,10,,117
,Isaiah Likely,NYG,8,TE,117,119,118,-0.01,5.5,,118
,Dalton Kincaid,BUF,7,TE,98,99,119,0.2,4,,119
,Hunter Henry,NE,11,TE,135,146,120,-0.18,6.5,,120
,Jacory Croskey-Merritt,WAS,7,RB,112,107,121,0.13,4.9,11,121
,Blake Corum,LAR,11,RB,94,93,122,0.31,3.4,,122
,Woody Marks,HOU,8,RB,136,116,123,0.06,5.7,,123
,Zach Charbonnet,SEA,11,RB,129,123,124,0.01,5.6,,124
,Quentin Johnston,LAC,7,WR,102,94,125,0.33,3.5,,125
,KC Concepcion,CLE,11,WR,127,155,126,-0.19,6.6,,126
,Chris Godwin,TB,10,WR,90,81,127,0.57,2.4,,127
,Romeo Doubs,NE,11,WR,123,141,128,-0.09,5.8,,128
,Jayden Higgins,HOU,8,WR,128,117,129,0.1,5,,129
,Jalen Coker,CAR,5,WR,139,133,130,-0.02,6,,130
,Jerry Jeudy,CLE,11,WR,179,154,131,-0.15,8.2,,131
,Rashid Shaheed,SEA,11,WR,145,147,132,-0.1,6.6,,132
,Kyler Murray,MIN,6,QB,122,118,134,0.14,4.5,12,133
,Tyler Shough,NO,8,QB,131,114,135,0.18,4.7,,134
,Jared Goff,DET,6,QB,118,108,136,0.26,3.8,,135
,Daniel Jones,IND,13,QB,164,178,137,-0.23,8.1,,136
,Jordan Mason,MIN,6,RB,120,125,138,0.1,4.5,,137
,Alvin Kamara,NO,8,RB,146,131,139,0.06,5.5,,138
,Isiah Pacheco,DET,6,RB,155,143,140,-0.02,6.2,,139
,Chris Rodriguez,JAC,7,RB,138,136,141,0.04,5.3,,140
,Brian Robinson,ATL,11,RB,142,152,142,-0.07,5.9,,141
,Tank Bigsby,PHI,10,RB,159,149,143,-0.04,6.3,,142
,Jalen McMillan,TB,10,WR,161,172,144,-0.16,7.2,,143
,Calvin Ridley,TEN,9,WR,196,194,145,-0.25,9.3,,144
,Ricky Pearsall,SF,8,WR,99,140,146,0.04,3.5,13,145
,Denzel Boston,CLE,11,WR,151,176,147,-0.16,6.7,,146
,Adonai Mitchell,NYJ,13,WR,173,160,148,-0.08,6.7,,147
,Baker Mayfield,TB,10,QB,132,124,149,0.2,4.7,,148
,Malik Willis,MIA,6,QB,134,130,150,0.15,4.8,,149
,Antonio Williams,WAS,7,WR,172,219,152,-0.31,8.8,,150
,Tre Tucker,LV,13,WR,182,157,153,-0.03,6.1,,151
,Ray Davis,BUF,7,RB,187,179,154,-0.14,7.7,,152
,Tyrone Tracy,NYG,8,RB,130,128,155,0.21,3.6,,153
,Mike Washington,LV,13,RB,170,190,156,-0.18,7.3,,154
,Tyler Allgeier,ARI,14,RB,125,132,157,0.19,3.4,,155
,Dylan Sampson,CLE,11,RB,149,139,158,0.14,4.5,,156
,Terrance Ferguson,LAR,11,TE,176,200,159,-0.21,7.7,14,157
,Juwan Johnson,NO,8,TE,144,137,160,0.17,4,,158
,Jalen Nailor,LV,13,WR,188,196,161,-0.18,7.8,,159
,Omar Cooper,NYJ,13,WR,154,170,162,-0.05,5.5,,160
,Rashod Bateman,BAL,13,WR,215,189,163,-0.14,8.4,,161
,Jauan Jennings,MIN,6,WR,150,144,164,0.14,4.2,,162
,Tank Dell,HOU,8,WR,213,198,165,-0.17,8.5,,163
,Tyjae Spears,TEN,9,RB,143,138,166,0.2,3.6,,164
,Braelon Allen,NYJ,13,RB,168,145,167,0.15,4.8,,165
,Keaton Mitchell,LAC,7,RB,156,148,168,0.14,4.3,,166
,Brenton Strange,JAC,7,TE,140,134,170,0.27,3,,167
,James Conner,ARI,14,RB,160,171,171,0,5.2,,168
,Justice Hill,BAL,13,RB,214,208,172,-0.17,8.4,15,169
,Jordan Love,GB,11,QB,124,120,174,0.45,1.6,,170
,Cam Ward,TEN,9,QB,157,150,175,0.17,4.2,,171
,C.J. Stroud,HOU,8,QB,153,135,176,0.3,3.1,,172
,Darnell Mooney,NYG,8,WR,209,180,177,-0.02,6.8,,173
,Stefon Diggs,FA,-,WR,147,166,178,0.07,3.9,,174
,Deebo Samuel,SF,8,WR,169,159,179,0.13,4.4,,175
,Tre' Harris,LAC,7,WR,189,175,180,0.03,5.7,,176
,Ryan Flournoy,DAL,14,WR,194,167,181,0.08,5.5,,177
,Pat Freiermuth,PIT,9,TE,183,213,182,-0.15,6.7,,178
