,Name,Team,BYE,Pos,ADP,FantasyPros,YahooXRank,Yahoo!vFP,Landmine,Round,Pick
,RJ Harvey,DEN,10,RB,88,88,99,0.13,4.7,,99
,Jonathon Brooks,CAR,5,RB,127,126,100,-0.21,7.5,,100
,Bo Nix,DEN,10,QB,103,101,101,0,5.6,,101
,George Kittle,SF,8,TE,102,98,102,0.04,5.4,,102
,Michael Wilson,ARI,14,WR,92,100,103,0.03,5,,103
,Jordan Mason,MIN,6,RB,116,111,104,-0.06,6.2,,104
,Rachaad White,WAS,7,RB,114,121,105,-0.13,6.4,,105
,Kyler Murray,MIN,6,QB,133,120,106,-0.12,7,,106
,Dalton Kincaid,BUF,7,TE,101,96,107,0.11,5,,107
,Michael Pittman,PIT,9,WR,98,102,108,0.06,4.9,,108
,Patrick Mahomes,KC,5,QB,99,90,109,0.21,4.4,10,109
,Xavier Worthy,KC,5,WR,121,109,110,0.01,5.7,,110
,Kenny Gainwell,TB,10,RB,104,114,111,-0.03,5.4,,111
,Jacory Croskey-Merritt,WAS,7,RB,111,99,112,0.13,5,,112
,Isaiah Likely,NYG,8,TE,117,117,113,-0.03,5.8,,113
,Dallas Goedert,PHI,10,TE,106,119,114,-0.04,5.4,,114
,Matthew Stafford,LAR,11,QB,105,106,115,0.08,4.9,,115
,Jakobi Meyers,JAC,7,WR,93,95,116,0.22,3.9,,116
,Travis Kelce,KC,5,TE,110,110,117,0.06,5.1,,117
,Matthew Golden,GB,11,WR,122,154,118,-0.23,7,,118
,Mark Andrews,BAL,13,TE,107,118,119,0.01,5,,119
,Jared Goff,DET,6,QB,130,107,120,0.12,5.4,,120
,Chris Rodriguez,JAC,7,RB,139,131,121,-0.08,6.6,11,121
,Romeo Doubs,NE,11,WR,126,139,122,-0.12,6.3,,122
,Jayden Higgins,HOU,8,WR,128,113,123,0.09,5.3,,123
,KC Concepcion,CLE,11,WR,123,143,124,-0.13,6,,124
,Aaron Jones,MIN,6,RB,100,104,125,0.2,3.8,,125
,Stefon Diggs,FA,-,WR,170,166,126,-0.24,8.7,,126
,Jalen Coker,CAR,5,WR,134,136,127,-0.07,6,,127
,Tyrone Tracy,NYG,8,RB,137,128,128,0,5.8,,128
,Jordan Love,GB,11,QB,159,122,129,0.06,6.4,,129
,Wan'Dale Robinson,TEN,9,WR,109,123,130,0.06,4.5,,130
,Malik Willis,MIA,6,QB,146,130,131,0.01,6,,131
,Baker Mayfield,TB,10,QB,142,125,132,0.06,5.6,,132
,Tyler Shough,NO,8,QB,136,112,133,0.19,4.8,12,133
,Keaton Mitchell,LAC,7,RB,157,146,134,-0.08,6.8,,134
,Tyler Allgeier,ARI,14,RB,135,129,135,0.05,5.3,,135
,Jake Ferguson,DAL,14,TE,112,127,136,0.07,4.7,,136
,Rashid Shaheed,SEA,11,WR,147,138,137,-0.01,5.8,,137
,Chig Okonkwo,WAS,7,TE,195,177,138,-0.22,9.1,,138
,Tyjae Spears,TEN,9,RB,152,151,139,-0.08,6.4,,139
,Jonah Coleman,DEN,10,RB,120,168,140,-0.17,5.8,,140
,Tank Bigsby,PHI,10,RB,150,145,141,-0.03,6,,141
,Isiah Pacheco,DET,6,RB,144,147,142,-0.03,5.8,,142
,Zach Charbonnet,SEA,11,RB,125,116,143,0.23,3.8,,143
,Woody Marks,HOU,8,RB,118,115,144,0.25,3.4,,144
,Brian Robinson,ATL,11,RB,131,149,145,-0.03,5.1,13,145
,Khalil Shakir,BUF,7,WR,124,137,147,0.07,4.3,,146
,Travis Hunter,JAC,7,WR,140,162,148,-0.09,5.7,,147
,Alvin Kamara,NO,8,RB,138,135,149,0.1,4.6,,148
,Adonai Mitchell,NYJ,13,WR,163,161,150,-0.07,6.4,,149
,Jalen Nailor,LV,13,WR,181,213,152,-0.29,8.9,,150
,Braelon Allen,NYJ,13,RB,151,141,154,0.09,4.9,,151
,Jalen McMillan,TB,10,WR,160,170,155,-0.09,6.3,,152
,Dylan Sampson,CLE,11,RB,176,150,156,0.04,6,,153
,Brenton Strange,JAC,7,TE,143,134,157,0.17,4.8,,154
,Daniel Jones,IND,13,QB,165,174,158,-0.09,6.4,,155
,Oronde Gadsden,LAC,7,TE,166,152,159,0.05,5.5,,156
,C.J. Stroud,HOU,8,QB,172,132,161,0.22,5.1,14,157
,Bryce Young,CAR,5,QB,203,156,162,0.04,6.8,,158
,Omar Cooper,NYJ,13,WR,148,181,163,-0.1,5.6,,159
,Sam Darnold,SEA,11,QB,184,144,165,0.15,5.4,,160
,Tre Tucker,LV,13,WR,169,158,166,0.05,5.4,,161
,Kaytron Allen,WAS,7,RB,162,204,167,-0.18,6.7,,162
,Juwan Johnson,NO,8,TE,158,140,168,0.2,4.6,,163
,Hunter Henry,NE,11,TE,119,142,169,0.19,2.6,,164
,Mike Washington,LV,13,RB,149,182,170,-0.07,5.3,,165
,Ray Davis,BUF,7,RB,171,180,172,-0.04,5.8,,166
,Cam Ward,TEN,9,QB,183,153,175,0.14,5,,167
,Denzel Boston,CLE,11,WR,145,187,177,-0.05,4.7,,168
,Jauan Jennings,MIN,6,WR,154,148,179,0.21,3.4,15,169
,Emmett Johnson,KC,5,RB,132,194,181,-0.07,4.2,,170
,Nicholas Singleton,TEN,9,RB,164,201,185,-0.08,5.3,,171
,Jaydon Blue,DAL,14,RB,228,219,187,-0.15,8.2,,172
,Jacoby Brissett,ARI,14,QB,232,198,188,-0.05,6.5,,173
,Deebo Samuel,SF,8,WR,188,160,191,0.19,4.7,,174
,Isaac TeSlaa,DET,6,WR,196,169,192,0.14,4.8,,175
,Ryan Flournoy,DAL,14,WR,205,167,193,0.16,5,,176
,MarShawn Lloyd,GB,11,RB,242,212,194,-0.08,8,,177
,Jerry Jeudy,CLE,11,WR,153,155,195,0.26,2.4,,178
,Calvin Ridley,TEN,9,WR,168,190,196,0.03,4.2,,179
,James Conner,ARI,14,RB,156,172,199,0.16,2.9,,180
,AJ Barner,SEA,11,TE,187,171,200,0.17,4.2,16,181
,Tre' Harris,LAC,7,WR,192,173,203,0.17,4.5,,182
,Jaylin Noel,HOU,8,WR,179,175,204,0.17,3.5,,183
,T.J. Hockenson,MIN,6,TE,155,195,205,0.05,4.4,,184
,Kaleb Johnson,PIT,9,RB,227,209,206,-0.01,6.4,,185
,Kenyon Sadiq,NYJ,13,TE,141,192,211,0.1,2.2,,186
,Brandon Aiyuk,SF,8,WR,206,189,213,0.13,4.3,,187
,Ollie Gordon,MIA,6,RB,247,207,214,0.03,6.5,,188
,Emanuel Wilson,SEA,11,RB,220,163,215,0.32,3.7,,189
,Sean Tucker,TB,10,RB,218,159,218,0.37,3.3,,190
,Chimere Dike,TEN,9,WR,173,186,220,0.18,2.5,,191
,Kimani Vidal,LAC,7,RB,197,164,221,0.35,2.5,,192
,Justice Hill,BAL,13,RB,229,225,222,-0.01,5.9,17,193
,Pat Bryant,DEN,10,WR,221,193,225,0.17,4.2,,194
,Malik Washington,MIA,6,WR,243,218,227,0.04,5.8,,195
,Kayshon Boutte,NE,11,WR,215,157,231,0.47,2.1,,196
,Terrance Ferguson,LAR,11,TE,167,183,232,0.27,1.2,,197
,Tyreek Hill,FA,-,WR,209,184,234,0.27,2.7,,198
,Jaylen Wright,MIA,6,RB,214,176,242,0.38,2,,199
,Dalton Schultz,HOU,8,TE,175,179,243,0.36,1,,200
