,Name,Team,BYE,Pos,ADP,FantasyPros,Sleeper ADP,SleepvFP,Landmine,Round,Pick
,Jahmyr Gibbs,DET,6,RB,1,4,1,-0.75,5.6,1,1
,Bijan Robinson,ATL,11,RB,2,3,2,-0.33,5.5,,2
,Ja'Marr Chase,CIN,6,WR,3,1,3,2,5.5,,3
,Puka Nacua,LAR,11,WR,4,2,4,1,5.5,,4
,Christian McCaffrey,SF,8,RB,6,8,5,-0.38,5.6,,5
,Jaxon Smith-Njigba,SEA,11,WR,5,5,6,0.2,5.5,,6
,Jonathan Taylor,IND,13,RB,8,11,7,-0.36,5.6,,7
,Amon-Ra St. Brown,DET,6,WR,7,6,8,0.33,5.4,,8
,CeeDee Lamb,DAL,14,WR,9,7,9,0.29,5.5,,9
,Justin Jefferson,MIN,6,WR,10,9,10,0.11,5.5,,10
,De'Von Achane,MIA,6,RB,12,16,11,-0.31,5.7,,11
,James Cook,BUF,7,RB,13,23,12,-0.48,6,,12
,Drake London,ATL,11,WR,11,10,13,0.3,5.4,2,13
,Ashton Jeanty,LV,13,RB,14,12,14,0.17,5.4,,14
,Saquon Barkley,PHI,10,RB,18,26,15,-0.42,6,,15
,Trey McBride,ARI,14,TE,15,15,16,0.07,5.5,,16
,Omarion Hampton,LAC,7,RB,19,22,17,-0.23,5.6,,17
,Chase Brown,CIN,6,RB,17,20,18,-0.1,5.5,,18
,A.J. Brown,NE,11,WR,20,14,19,0.36,5.4,,19
,Jeremiyah Love,ARI,14,RB,27,38,20,-0.47,6.4,,20
,Brock Bowers,LV,13,TE,21,21,21,0,5.5,,21
,Rashee Rice,KC,5,WR,16,19,22,0.16,5.2,,22
,Kenneth Walker,KC,5,RB,25,35,23,-0.34,5.9,,23
,George Pickens,DAL,14,WR,23,18,24,0.33,5.3,,24
,Derrick Henry,BAL,13,RB,26,40,25,-0.38,5.8,3,25
,Nico Collins,HOU,8,WR,22,17,26,0.53,5.1,,26
,Chris Olave,NO,8,WR,24,13,27,1.08,4.9,,27
,Malik Nabers,NYG,8,WR,30,34,28,-0.18,5.8,,28
,Josh Jacobs,GB,11,RB,29,41,29,-0.29,5.8,,29
,Josh Allen,BUF,7,QB,28,24,30,0.25,5.4,,30
,Kyren Williams,LAR,11,RB,37,43,31,-0.28,6.2,,31
,Breece Hall,NYJ,13,RB,33,37,32,-0.14,5.7,,32
,Bucky Irving,TB,10,RB,45,53,33,-0.38,6.7,,33
,Tee Higgins,CIN,6,WR,38,33,34,0.03,5.6,,34
,Travis Etienne,NO,8,RB,40,51,35,-0.31,6,,35
,Tetairoa McMillan,CAR,5,WR,32,32,36,0.13,5.3,,36
,Lamar Jackson,BAL,13,QB,42,28,37,0.32,5.4,4,37
,Javonte Williams,DAL,14,RB,36,52,38,-0.27,6,,38
,Garrett Wilson,NYJ,13,WR,31,29,39,0.34,4.8,,39
,Luther Burden,CHI,10,WR,47,47,40,-0.15,6,,40
,Colston Loveland,CHI,10,TE,43,39,41,0.05,5.5,,41
,Ladd McConkey,LAC,7,WR,39,30,42,0.4,5,,42
,Zay Flowers,BAL,13,WR,35,31,43,0.39,4.8,,43
,DeVonta Smith,PHI,10,WR,34,25,44,0.76,4.4,,44
,Emeka Egbuka,TB,10,WR,41,45,45,0,5.4,,45
,Jaylen Waddle,DEN,10,WR,44,36,46,0.28,5.1,,46
,Davante Adams,LAR,11,WR,46,49,47,-0.04,5.5,,47
,TreVeyon Henderson,NE,11,RB,57,56,48,-0.14,6.1,,48
,Cam Skattebo,NYG,8,RB,48,55,49,-0.11,5.7,5,49
,Tyler Warren,IND,13,TE,52,58,50,-0.14,5.7,,50
,Drake Maye,NE,11,QB,50,27,51,0.89,4.9,,51
,Jameson Williams,DET,6,WR,51,50,52,0.04,5.4,,52
,Quinshon Judkins,CLE,11,RB,53,59,53,-0.1,5.7,,53
,David Montgomery,HOU,8,RB,60,64,54,-0.16,5.9,,54
,Terry McLaurin,WAS,7,WR,49,42,55,0.31,4.8,,55
,Joe Burrow,CIN,6,QB,59,46,56,0.22,5.3,,56
,Mike Evans,SF,8,WR,62,48,57,0.19,5.4,,57
,DJ Moore,BUF,7,WR,55,63,58,-0.08,5.6,,58
,Bhayshul Tuten,JAC,7,RB,68,78,59,-0.24,6.6,,59
,Jayden Daniels,WAS,7,QB,56,44,59,0.34,4.9,,60
,Harold Fannin,CLE,11,TE,67,70,60,-0.14,5.8,6,61
,Carnell Tate,TEN,9,WR,54,75,61,-0.19,5.8,,62
,Rome Odunze,CHI,10,WR,58,60,62,0.03,5.3,,63
,D'Andre Swift,CHI,10,RB,63,61,63,0.03,5.4,,64
,Jalen Hurts,PHI,10,QB,61,57,64,0.12,5.3,,65
,Tucker Kraft,GB,11,TE,82,71,65,-0.08,6.2,,66
,RJ Harvey,DEN,10,RB,91,83,66,-0.2,7.1,,67
,Christian Watson,GB,11,WR,66,54,66,0.22,5.1,,68
,Jordyn Tyson,NO,8,WR,64,109,68,-0.38,6.9,,69
,Brian Thomas,JAC,7,WR,76,65,69,0.06,5.6,,70
,Kyle Pitts,ATL,11,TE,70,81,70,-0.14,5.8,,71
,DK Metcalf,PIT,9,WR,71,66,71,0.08,5.3,,72
,Jaylen Warren,PIT,9,RB,81,69,72,0.04,5.7,7,73
,Chuba Hubbard,CAR,5,RB,88,90,73,-0.19,6.7,,74
,Marvin Harrison,ARI,14,WR,69,87,74,-0.15,5.8,,75
,Sam LaPorta,DET,6,TE,77,88,75,-0.15,5.9,,76
,Makai Lemon,PHI,10,WR,74,114,76,-0.33,6.9,,77
,Courtland Sutton,DEN,10,WR,72,67,77,0.15,4.9,,78
,Michael Wilson,ARI,14,WR,80,86,78,-0.09,5.9,,79
,Jadarian Price,SEA,11,RB,65,82,79,-0.04,5.1,,80
,Jaxson Dart,NYG,8,QB,83,93,80,-0.14,6.1,,81
,Rhamondre Stevenson,NE,11,RB,89,79,81,0.03,5.7,,82
,Caleb Williams,CHI,10,QB,78,68,82,0.21,5.1,,83
,Alec Pierce,IND,13,WR,73,84,83,-0.01,5.2,,84
,Justin Herbert,LAC,7,QB,84,62,84,0.35,4.8,8,85
,Tony Pollard,TEN,9,RB,75,77,85,0.1,4.8,,86
,Jakobi Meyers,JAC,7,WR,90,80,86,0.08,5.5,,87
,Rico Dowdle,PIT,9,RB,92,89,87,-0.02,5.7,,88
,Parker Washington,JAC,7,WR,79,96,88,-0.08,5.5,,89
,Kyle Monangai,CHI,10,RB,105,91,89,-0.02,6.1,,90
,Dak Prescott,DAL,14,QB,87,73,90,0.23,5.1,,91
,Trevor Lawrence,JAC,7,QB,86,76,91,0.2,4.9,,92
,J.K. Dobbins,DEN,10,RB,100,105,92,-0.12,6,,93
,Chris Godwin,TB,10,WR,102,72,93,0.29,5.1,,94
,Oronde Gadsden,LAC,7,TE,181,156,94,-0.4,10,,95
,Dalton Kincaid,BUF,7,TE,110,101,95,-0.06,6.3,,96
,George Kittle,SF,8,TE,101,99,96,-0.03,5.8,9,97
,Blake Corum,LAR,11,RB,111,110,97,-0.12,6.5,,98
,Ricky Pearsall,SF,8,WR,147,135,98,-0.27,8.7,,99
,Patrick Mahomes,KC,5,QB,95,92,99,0.08,5.3,,100
,Jordan Addison,MIN,6,WR,96,98,100,0.02,5.4,,101
,Quentin Johnston,LAC,7,WR,109,95,101,0.06,5.5,,102
,Michael Pittman,PIT,9,WR,85,74,102,0.38,3.8,,103
,Wan'Dale Robinson,TEN,9,WR,93,85,103,0.21,4.5,,104
,Brock Purdy,SF,8,QB,94,97,104,0.07,5.1,,105
,Jake Ferguson,DAL,14,TE,107,111,105,-0.05,5.7,,106
,Hunter Henry,NE,11,TE,125,149,106,-0.29,7.8,,107
,Kenny Gainwell,TB,10,RB,99,106,107,0.01,5.2,,108
,Travis Kelce,KC,5,TE,104,103,108,0.05,5.2,10,109
,Aaron Jones,MIN,6,RB,106,102,109,0.07,5.1,,110
,Dallas Goedert,PHI,10,TE,108,127,110,-0.13,6.1,,111
,Mark Andrews,BAL,13,TE,115,124,111,-0.1,6.1,,112
,Jacory Croskey-Merritt,WAS,7,RB,118,122,112,-0.08,6.1,,113
,Matthew Stafford,LAR,11,QB,98,107,113,0.06,4.8,,114
,Romeo Doubs,NE,11,WR,123,141,114,-0.19,6.9,,115
,Jayden Reed,GB,11,WR,113,104,115,0.11,5,,116
,Isaiah Likely,NYG,8,TE,116,118,116,-0.02,5.6,,117
,Kenyon Sadiq,NYJ,13,TE,145,200,117,-0.42,9.7,,118
,Bo Nix,DEN,10,QB,97,100,118,0.18,4.3,,119
,Jared Goff,DET,6,QB,120,108,119,0.1,5.3,,120
,Brian Robinson,ATL,11,RB,141,157,120,-0.24,7.7,11,121
,Jordan Love,GB,11,QB,154,116,121,0.04,6.6,,122
,Josh Downs,IND,13,WR,103,94,122,0.3,3.7,,123
,Zach Charbonnet,SEA,11,RB,127,130,123,-0.05,5.9,,124
,Stefon Diggs,FA,-,WR,165,165,124,-0.25,8.6,,125
,Rachaad White,WAS,7,RB,112,117,125,0.07,4.7,,126
,Brenton Strange,JAC,7,TE,160,136,126,-0.07,6.6,,127
,Jordan Mason,MIN,6,RB,129,131,127,-0.03,5.7,,128
,Jayden Higgins,HOU,8,WR,124,112,128,0.14,4.9,,129
,Tyler Allgeier,ARI,14,RB,142,139,129,-0.07,6.4,,130
,Khalil Shakir,BUF,7,WR,119,119,130,0.09,4.7,,131
,Matthew Golden,GB,11,WR,114,148,131,-0.11,5.5,,132
,Xavier Worthy,KC,5,WR,121,121,132,0.09,4.7,12,133
,Juwan Johnson,NO,8,TE,146,134,133,-0.01,6,,134
,Jalen Coker,CAR,5,WR,128,125,134,0.07,4.9,,135
,Dalton Schultz,HOU,8,TE,176,163,135,-0.17,6.8,,136
,Malik Willis,MIA,6,QB,137,126,136,0.08,5.2,,137
,Jonathon Brooks,CAR,5,RB,117,128,137,0.07,4.4,,138
,Baker Mayfield,TB,10,QB,135,120,138,0.15,5,,139
,T.J. Hockenson,MIN,6,TE,140,172,139,-0.19,6.8,,140
,Woody Marks,HOU,8,RB,131,123,139,0.13,4.6,,141
,Chris Rodriguez,JAC,7,RB,138,146,141,-0.03,5.6,,142
,Kyler Murray,MIN,6,QB,126,115,142,0.23,3.9,,143
,KC Concepcion,CLE,11,WR,122,145,143,-0.01,4.8,,144
,Tyler Shough,NO,8,QB,130,113,144,0.27,3.8,13,145
,Jonah Coleman,DEN,10,RB,133,186,145,-0.22,6.6,,146
,Tyrone Tracy,NYG,8,RB,144,132,146,0.11,4.9,,147
,Chig Okonkwo,WAS,7,TE,178,170,147,-0.14,7.2,,148
,Jauan Jennings,MIN,6,WR,152,142,148,0.04,5.4,,149
,Denzel Boston,CLE,11,WR,132,173,149,-0.14,5.8,,150
,Omar Cooper,NYJ,13,WR,136,166,150,-0.1,5.6,,151
,Emmett Johnson,KC,5,RB,150,212,151,-0.29,7.8,,152
,AJ Barner,SEA,11,TE,190,188,152,-0.19,7.4,,153
,Tyjae Spears,TEN,9,RB,153,140,153,0.09,5.3,,154
,James Conner,ARI,14,RB,172,174,154,-0.11,6.9,,155
,Rashid Shaheed,SEA,11,WR,139,143,154,0.08,4.5,,156
,Alvin Kamara,NO,8,RB,143,133,156,0.17,4.2,14,157
,Terrance Ferguson,LAR,11,TE,175,207,157,-0.24,8.1,,158
,Travis Hunter,JAC,7,WR,134,161,158,-0.02,4.7,,159
,Cade Otton,TB,10,TE,219,217,159,-0.27,9.9,,160
,C.J. Stroud,HOU,8,QB,169,129,160,0.24,5,,161
,Jalen McMillan,TB,10,WR,156,175,161,-0.08,5.8,,162
,Deebo Samuel,SF,8,WR,151,158,162,0.03,4.9,,163
,Keaton Mitchell,LAC,7,RB,162,151,163,0.08,5.3,,164
,Sam Darnold,SEA,11,QB,179,138,164,0.19,5.2,,165
,Cam Ward,TEN,9,QB,170,144,165,0.15,5.2,,166
,Dylan Sampson,CLE,11,RB,155,137,166,0.21,4,,167
,Jalen Nailor,LV,13,WR,168,193,167,-0.13,6.5,,168
,Isiah Pacheco,DET,6,RB,148,150,168,0.12,4.1,15,169
,David Njoku,LAC,7,TE,233,209,171,-0.18,8.6,,170
,Jerry Jeudy,CLE,11,WR,149,147,172,0.17,3.7,,171
,Tyreek Hill,FA,-,WR,173,187,174,-0.07,6,,172
,Braelon Allen,NYJ,13,RB,164,153,175,0.14,4.3,,173
,Adonai Mitchell,NYJ,13,WR,158,159,177,0.11,4.1,,174
,Kayshon Boutte,NE,11,WR,196,164,178,0.09,5.7,,175
,Mike Washington,LV,13,RB,163,215,179,-0.17,6.3,,176
,Kimani Vidal,LAC,7,RB,194,171,181,0.06,5.6,,177
,Tank Bigsby,PHI,10,RB,161,155,184,0.19,3.6,,178
,Brandon Aiyuk,SF,8,WR,208,189,185,-0.02,6.5,,179
,Sean Tucker,TB,10,RB,216,177,186,0.05,6.2,,180
,Bryce Young,CAR,5,QB,191,152,187,0.23,4.7,16,181
,Tre' Harris,LAC,7,WR,188,169,188,0.11,5,,182
,Daniel Jones,IND,13,QB,157,168,189,0.13,3.5,,183
,Isaac TeSlaa,DET,6,WR,198,178,191,0.07,5.3,,184
,Elic Ayomanor,TEN,9,WR,185,192,192,0,5.2,,185
,Gunnar Helm,TEN,9,TE,207,185,193,0.04,5.7,,186
,Jacoby Brissett,ARI,14,QB,220,179,194,0.08,5.7,,187
,Emanuel Wilson,SEA,11,RB,222,182,195,0.07,5.8,,188
,Tank Dell,HOU,8,WR,186,199,197,-0.01,5.2,,189
,Tre Tucker,LV,13,WR,167,154,198,0.29,2.7,,190
,Ray Davis,BUF,7,RB,177,184,199,0.08,4.1,,191
,Jaylin Noel,HOU,8,WR,199,167,202,0.21,4.1,,192
,Jaylen Wright,MIA,6,RB,217,190,203,0.07,5.5,17,193
,Darnell Mooney,NYG,8,WR,203,176,206,0.17,4.7,,194
,Pat Bryant,DEN,10,WR,224,181,208,0.15,5.1,,195
,Ryan Flournoy,DAL,14,WR,200,162,210,0.3,3.3,,196
,Calvin Ridley,TEN,9,WR,180,198,211,0.07,3.9,,197
,Tory Horton,SEA,11,WR,240,218,212,-0.03,6.8,,198
,Chimere Dike,TEN,9,WR,189,180,214,0.19,3.3,,199
,Rashod Bateman,BAL,13,WR,193,195,217,0.11,3.8,,200
