,,,,,,,,,,,,,,,,
,std,half,ppr,Player,Pos,Team,BYE,ESPN Std,ESPN PPR,Sleeper Std,Sleeper Half,Sleeper PPR,Proj Std,Proj Half,Proj PPR,Yahoo
,RB15,RB14,RB13,Breece Hall,RB,NYJ,NYJ / 13,13,14,15,15,15,182.98,205.89,228.8,15
,QB14,QB14,QB14,Bo Nix,QB,DEN,DEN / 10,10,14,15,14,14,275.87,275.87,275.87,12
,TE9,TE11,TE13,Mark Andrews,TE,BAL,BAL / 13,12,14,12,14,15,102.95,130.67,158.38,14
,WR19,WR18,WR18,Malik Nabers,WR,NYG,NYG / 8,11,14,10,12,12,139.2,177.9,216.59,11
,RB13,RB15,RB15,Javonte Williams,RB,DAL,DAL / 14,15,15,16,16,16,186.26,203.41,220.56,16
,WR16,WR14,WR13,DeVonta Smith,WR,PHI,PHI / 10,19,15,23,14,15,143.14,183.59,224.04,13
,QB15,QB15,QB15,Matthew Stafford,QB,LAR,LAR / 11,12,15,14,12,11,273.12,273.12,273.12,14
,TE14,TE16,TE16,Dalton Kincaid,TE,BUF,BUF / 7,14,15,9,10,9,92.8,119.18,145.56,10
,TE16,TE15,TE15,Juwan Johnson,TE,NO,NO / 8,21,16,16,20,22,89.33,119.4,149.47,15
,QB16,QB16,QB16,Kyler Murray,QB,MIN,MIN / 6,16,16,21,17,19,267.49,267.49,267.49,15
,WR20,WR21,WR20,Tetairoa McMillan,WR,CAR,CAR / 5,17,16,15,15,16,138.46,173.13,207.8,19
,RB12,RB13,RB14,Kyren Williams,RB,LAR,LAR / 11,17,16,10,13,14,190.47,206.34,222.22,13
,QB19,QB19,QB19,Tyler Shough,QB,NO,NO / 8,17,17,20,21,21,261.14,261.14,261.14,21
,WR12,WR16,WR17,Zay Flowers,WR,BAL,BAL / 13,15,17,21,19,19,144.46,181.05,217.64,15
,RB18,RB18,RB17,Travis Etienne,RB,NO,NO / 8,16,17,18,18,19,173.16,192.02,210.87,17
,TE18,TE18,TE19,Hunter Henry,TE,NE,NE / 11,16,17,10,16,16,85.33,110.69,136.05,20
,RB16,RB16,RB18,Quinshon Judkins,RB,CLE,CLE / 11,18,18,22,21,22,179.75,195.29,210.83,23
,TE23,TE21,TE21,T.J. Hockenson,TE,MIN,MIN / 6,19,18,22,19,19,73.91,102.51,131.11,24
,WR25,WR25,WR25,Emeka Egbuka,WR,TB,TB / 10,16,18,24,17,18,133.79,167.42,201.06,21
,QB17,QB17,QB17,Jared Goff,QB,DET,DET / 6,18,18,17,16,16,266.92,266.92,266.92,16
,WR17,WR15,WR15,Ladd McConkey,WR,LAC,LAC / 7,22,19,20,18,17,142.79,181.41,220.03,20
,TE24,TE24,TE24,Kenyon Sadiq,TE,NYJ,NYJ / 13,18,19,19,18,17,70.94,95.8,120.66,23
,QB20,QB20,QB20,Baker Mayfield,QB,TB,TB / 10,20,19,19,18,17,258.56,258.56,258.56,20
,RB22,RB22,RB23,Cam Skattebo,RB,NYG,NYG / 8,19,19,20,17,18,164.44,181.95,199.47,19
,QB23,QB23,QB23,Daniel Jones,QB,IND,IND / 13,19,20,25,24,24,247.64,247.64,247.64,23
,RB17,RB19,RB20,D'Andre Swift,RB,CHI,CHI / 10,21,20,23,22,23,175.18,191.48,207.79,18
,TE17,TE17,TE17,Brenton Strange,TE,JAX,JAX / 7,20,20,17,17,18,88.06,116.43,144.79,21
,WR11,WR13,WR16,Tee Higgins,WR,CIN,CIN / 6,21,20,14,16,14,148.08,183.69,219.3,14
,RB24,RB25,RB25,Bhayshul Tuten,RB,JAX,JAX / 7,22,21,21,25,24,158.3,174.09,189.88,21
,TE22,TE23,TE23,Terrance Ferguson,TE,LAR,LAR / 11,17,21,24,23,24,76.89,99.48,122.07,19
,WR18,WR22,WR23,Davante Adams,WR,LAR,LAR / 11,14,21,19,23,22,139.39,172.87,206.34,29
,QB18,QB18,QB18,Jordan Love,QB,GB,GB / 11,22,21,16,19,18,262.95,262.95,262.95,18
,QB21,QB21,QB21,Malik Willis,QB,MIA,MIA / 6,21,22,18,22,22,254.74,254.74,254.74,19
,WR24,WR20,WR19,Jaylen Waddle,WR,DEN,DEN / 10,25,22,18,21,21,133.92,173.38,212.84,16
,RB19,RB20,RB19,Bucky Irving,RB,TB,TB / 10,20,22,17,19,17,172.29,190.56,208.84,20
,TE19,TE19,TE18,Dalton Schultz,TE,HOU,HOU / 8,23,23,14,24,23,78.55,108.09,137.64,17
,QB22,QB22,QB22,C.J. Stroud,QB,HOU,HOU / 8,23,23,22,23,23,247.66,247.66,247.66,24
,WR23,WR26,WR26,Terry McLaurin,WR,WAS,WAS / 7,23,23,25,22,24,134.26,166.84,199.41,23
,RB20,RB21,RB21,David Montgomery,RB,HOU,HOU / 8,24,23,24,20,20,171.72,187.29,202.87,22
,TE25,TE25,TE25,Gunnar Helm,TE,TEN,TEN / 9,24,24,25,26,25,64.73,87.78,110.83,25
,RB25,RB27,RB27,Jadarian Price,RB,SEA,SEA / 11,23,24,34,24,25,154.64,167.19,179.73,24
