,Name,Team,BYE,Pos,ADP,FantasyPros,ESPN,ESPNvFP,Landmine,Round,Pick
,Malik Nabers,NYG,8,WR,27,22,33,0.5,5,,33
,Travis Etienne,NO,8,RB,44,46,34,-0.26,6.1,,34
,DeVonta Smith,PHI,10,WR,29,20,35,0.75,4.7,,35
,Tetairoa McMillan,CAR,5,WR,34,37,36,-0.03,5.5,,36
,Zay Flowers,BAL,13,WR,35,31,37,0.19,5.3,4,37
,Emeka Egbuka,TB,10,WR,41,42,38,-0.1,5.8,,38
,Quinshon Judkins,CLE,11,RB,52,62,39,-0.37,6.9,,39
,Ladd McConkey,LAC,7,WR,39,33,40,0.21,5.3,,40
,Cam Skattebo,NYG,8,RB,45,60,41,-0.32,6.2,,41
,Colston Loveland,CHI,10,TE,42,35,42,0.2,5.4,,42
,Tee Higgins,CIN,6,WR,38,36,43,0.19,5.1,,43
,Davante Adams,LAR,11,WR,47,49,44,-0.1,5.8,,44
,Jaylen Waddle,DEN,10,WR,43,34,45,0.32,5,,45
,D'Andre Swift,CHI,10,RB,57,52,46,-0.12,5.8,,46
,Bhayshul Tuten,JAC,7,RB,62,65,47,-0.28,6.7,,47
,Lamar Jackson,BAL,13,QB,40,27,48,0.78,5,,48
,Bucky Irving,TB,10,RB,46,55,49,-0.11,5.6,5,49
,David Montgomery,HOU,8,RB,58,57,50,-0.12,6.1,,50
,Terry McLaurin,WAS,7,WR,49,47,51,0.09,5.4,,51
,DJ Moore,BUF,7,WR,53,53,52,-0.02,5.6,,52
,Jadarian Price,SEA,11,RB,65,67,53,-0.21,6.3,,53
,Jameson Williams,DET,6,WR,54,48,54,0.13,5.4,,54
,Tyler Warren,IND,13,TE,50,51,55,0.08,5.3,,55
,Rome Odunze,CHI,10,WR,55,63,56,-0.11,5.7,,56
,Jayden Daniels,WAS,7,QB,56,50,57,0.14,5.2,,57
,Drake Maye,NE,11,QB,48,32,58,0.81,4.4,,58
,TreVeyon Henderson,NE,11,RB,61,69,59,-0.14,5.8,,59
,Luther Burden,CHI,10,WR,51,44,60,0.36,4.6,,60
,Carnell Tate,TEN,9,WR,63,61,61,0,5.6,6,61
,Mike Evans,SF,8,WR,64,58,62,0.07,5.5,,62
,Rhamondre Stevenson,NE,11,RB,73,71,63,-0.11,6,,63
,Joe Burrow,CIN,6,QB,59,45,64,0.42,4.9,,64
,Marvin Harrison,ARI,14,WR,68,68,65,-0.04,5.7,,65
,Michael Pittman,PIT,9,WR,78,73,66,-0.1,6.2,,66
,Tony Pollard,TEN,9,RB,86,84,67,-0.2,6.9,,67
,DK Metcalf,PIT,9,WR,72,74,68,-0.08,5.9,,68
,Jalen Hurts,PHI,10,QB,60,56,69,0.23,5.1,,69
,Harold Fannin,CLE,11,TE,69,70,70,0,5.5,,70
,Courtland Sutton,DEN,10,WR,74,79,71,-0.1,5.9,,71
,Kyle Pitts,ATL,11,TE,71,77,72,-0.06,5.6,,72
,Dak Prescott,DAL,14,QB,77,80,73,-0.09,5.9,7,73
,Jaylen Warren,PIT,9,RB,81,75,74,-0.01,5.7,,74
,Christian Watson,GB,11,WR,66,54,75,0.39,4.4,,75
,Parker Washington,JAC,7,WR,67,59,76,0.29,4.5,,76
,Kenny Gainwell,TB,10,RB,105,93,77,-0.17,7.2,,77
,George Kittle,SF,8,TE,93,94,78,-0.17,6.7,,78
,MarShawn Lloyd,GB,11,RB,181,99,79,-0.2,10,,79
,Wan'Dale Robinson,TEN,9,WR,92,83,80,-0.04,6.1,,80
,Sam LaPorta,DET,6,TE,70,82,81,-0.01,5.1,,81
,Josh Jacobs,GB,11,RB,33,152,82,-0.46,6.3,,82
,Rico Dowdle,PIT,9,RB,87,81,83,0.02,5.6,,83
,Michael Wilson,ARI,14,WR,79,88,84,-0.05,5.5,,84
,Jaxson Dart,NYG,8,QB,84,101,85,-0.16,6.1,8,85
,Justin Herbert,LAC,7,QB,82,72,86,0.19,5.1,,86
,Jonathon Brooks,CAR,5,RB,98,87,87,0,5.9,,87
,Stefon Diggs,WAS,7,WR,112,95,88,-0.07,6.7,,88
,Caleb Williams,CHI,10,QB,75,64,89,0.39,4,,89
,Chuba Hubbard,CAR,5,RB,89,100,90,-0.1,5.8,,90
,Travis Hunter,JAC,7,WR,135,181,91,-0.5,10,,91
,Aaron Jones,MIN,6,RB,121,114,92,-0.19,7.4,,92
,Alec Pierce,IND,13,WR,85,106,93,-0.12,5.7,,93
,Jakobi Meyers,JAC,7,WR,91,105,94,-0.1,5.8,,94
,Brian Thomas,JAC,7,WR,76,78,95,0.22,4.2,,95
,Matthew Golden,GB,11,WR,108,124,96,-0.23,7,,96
,Chris Godwin,TB,10,WR,104,66,97,0.47,4.6,9,97
,Jordan Addison,MIN,6,WR,95,102,98,-0.04,5.5,,98
,Trevor Lawrence,JAC,7,QB,83,76,99,0.3,4,,99
,Rachaad White,WAS,7,RB,118,118,100,-0.15,6.9,,100
,J.K. Dobbins,DEN,10,RB,100,104,101,-0.03,5.6,,101
,Brock Purdy,SF,8,QB,94,92,102,0.11,5.2,,102
,Kyle Monangai,CHI,10,RB,107,117,103,-0.12,6,,103
,Tucker Kraft,GB,11,TE,80,85,104,0.22,4.2,,104
,Josh Downs,IND,13,WR,106,89,105,0.18,4.9,,105
,Khalil Shakir,BUF,7,WR,117,123,106,-0.14,6.6,,106
,Travis Kelce,KC,5,TE,96,90,107,0.19,4.8,,107
,Patrick Mahomes,KC,5,QB,99,98,108,0.1,4.9,,108
,RJ Harvey,DEN,10,RB,101,91,109,0.2,4.5,10,109
,Dallas Goedert,PHI,10,TE,116,126,110,-0.13,6.3,,110
,Makai Lemon,PHI,10,WR,88,108,111,0.03,4.5,,111
,Blake Corum,LAR,11,RB,115,113,112,-0.01,5.7,,112
,Bo Nix,DEN,10,QB,97,97,113,0.16,4.5,,113
,Jake Ferguson,DAL,14,TE,110,122,114,-0.07,5.6,,114
,Matthew Stafford,LAR,11,QB,90,110,115,0.05,4.8,,115
,Kyler Murray,MIN,6,QB,128,109,116,0.06,5.6,,116
,Jacory Croskey-Merritt,WAS,7,RB,113,111,117,0.05,5.1,,117
,Isaiah Likely,NYG,8,TE,119,121,118,-0.02,5.6,,118
,Quentin Johnston,LAC,7,WR,111,86,119,0.38,4,,119
,Jayden Reed,GB,11,WR,102,96,120,0.25,3.9,,120
,Xavier Worthy,KC,5,WR,120,125,121,-0.03,5.6,11,121
,De'Zhaun Stribling,SF,8,WR,132,131,122,-0.07,6.2,,122
,Mark Andrews,BAL,13,TE,123,129,123,-0.05,5.7,,123
,Romeo Doubs,NE,11,WR,126,127,124,-0.02,5.6,,124
,Jalen Coker,CAR,5,WR,127,130,125,-0.04,5.6,,125
,Dalton Kincaid,BUF,7,TE,109,107,126,0.18,4.2,,126
,Tyler Shough,NO,8,QB,138,116,127,0.09,5.5,,127
,Jared Goff,DET,6,QB,124,103,128,0.24,4.4,,128
,Tyjae Spears,TEN,9,RB,140,133,129,-0.03,6.1,,129
,Jordan Mason,MIN,6,RB,122,120,130,0.08,4.8,,130
,Deebo Samuel,SF,8,WR,125,140,131,-0.06,5.6,,131
,KC Concepcion,CLE,11,WR,114,112,132,0.18,4.1,,132
,Zach Charbonnet,SEA,11,RB,139,144,133,-0.08,6.1,12,133
,Woody Marks,HOU,8,RB,129,134,134,0,5.3,,134
,Jalen McMillan,TB,10,WR,160,177,135,-0.24,8,,135
,Jonah Coleman,DEN,10,RB,141,147,136,-0.07,6.1,,136
,Baker Mayfield,TB,10,QB,131,119,137,0.15,5.1,,137
,Tank Dell,HOU,8,WR,153,193,138,-0.28,8.1,,138
,Daniel Jones,IND,13,QB,147,142,139,-0.02,5.9,,139
,Chris Rodriguez,JAC,7,RB,134,139,140,0.01,5.2,,140
,Isiah Pacheco,DET,6,RB,154,166,141,-0.15,6.9,,141
,Alvin Kamara,NO,8,RB,143,155,142,-0.08,6,,142
,Juwan Johnson,NO,8,TE,149,128,143,0.12,5.3,,143
,Hunter Henry,NE,11,TE,130,156,144,-0.08,5.5,,144
,Tyler Allgeier,ARI,14,RB,136,136,145,0.07,4.8,13,145
,T.J. Hockenson,MIN,6,TE,142,168,146,-0.13,6.1,,146
,Kenyon Sadiq,NYJ,13,TE,158,201,147,-0.27,7.9,,147
,Keenan Allen,IND,13,WR,168,174,148,-0.15,7.2,,148
,Jordan Love,GB,11,QB,152,115,149,0.3,4.5,,149
,Calvin Ridley,TEN,9,WR,177,185,150,-0.19,7.8,,150
,Dylan Sampson,CLE,11,RB,156,141,151,0.07,5.3,,151
,Brian Robinson,ATL,11,RB,145,165,152,-0.08,5.7,,152
,Brenton Strange,JAC,7,TE,161,154,153,-0.01,5.8,,153
,Jaylin Noel,HOU,8,WR,172,183,154,-0.16,7.3,,154
,Terrance Ferguson,LAR,11,TE,173,189,155,-0.18,7.5,,155
,Rashid Shaheed,SEA,11,WR,133,143,156,0.09,4.2,,156
,Denzel Boston,CLE,11,WR,137,148,157,0.06,4.4,14,157
,Jerry Jeudy,CLE,11,WR,150,157,158,0.01,5.2,,158
,Adonai Mitchell,NYJ,13,WR,165,167,159,-0.05,5.9,,159
,Caleb Douglas,MIA,6,WR,179,184,160,-0.13,7.1,,160
,Malik Willis,MIA,6,QB,146,132,161,0.22,3.9,,161
,Jordyn Tyson,NO,8,WR,103,135,162,0.2,2.3,,162
,Tre Tucker,LV,13,WR,159,149,163,0.09,4.8,,163
,Jalen Nailor,LV,13,WR,164,173,164,-0.05,5.8,,164
,Keaton Mitchell,LAC,7,RB,148,146,165,0.13,4.2,,165
,Mike Washington,LV,13,RB,144,150,166,0.11,4.1,,166
,Braelon Allen,NYJ,13,RB,176,175,167,-0.05,6.1,,167
,Rashod Bateman,BAL,13,WR,184,205,168,-0.18,7.5,,168
,Dontayvion Wicks,PHI,10,WR,169,172,169,-0.02,5.6,15,169
,Devaughn Vele,NO,8,WR,220,221,170,-0.23,9.3,,170
,Tank Bigsby,PHI,10,RB,157,161,171,0.06,4.6,,171
,Ray Davis,BUF,7,RB,171,176,172,-0.02,5.6,,172
,Justice Hill,BAL,13,RB,213,191,174,-0.09,7.6,,173
,Ja'Kobi Lane,BAL,13,WR,162,190,175,-0.08,5.6,,174
,C.J. Stroud,HOU,8,QB,170,138,176,0.28,4.4,,175
,Sam Darnold,SEA,11,QB,166,137,177,0.29,3.6,,176
,Jauan Jennings,MIN,6,WR,178,162,178,0.1,4.9,,177
,Malachi Fields,NYG,8,WR,187,196,179,-0.09,6.4,,178
,Germie Bernard,PIT,9,WR,188,219,180,-0.18,7.3,,179
,Tre' Harris,LAC,7,WR,191,170,181,0.06,5.5,,180
,Pat Freiermuth,PIT,9,TE,221,197,182,-0.08,7.5,16,181
,Dalton Schultz,HOU,8,TE,180,151,183,0.21,4.2,,182
,Ryan Flournoy,DAL,14,WR,194,171,184,0.08,5.4,,183
,Zachariah Branch,ATL,11,WR,174,215,185,-0.14,6.1,,184
,Omar Cooper,NYJ,13,WR,155,163,186,0.14,3.5,,185
,Kayshon Boutte,HOU,8,WR,196,158,187,0.18,4.8,,186
,Kaelon Black,SF,8,RB,198,214,188,-0.12,6.9,,187
,Kimani Vidal,LAC,7,RB,209,178,189,0.06,5.7,,188
,Jaylen Wright,MIA,6,RB,232,211,190,-0.1,7.9,,189
,Gunnar Helm,TEN,9,TE,216,187,191,0.02,5.9,,190
,Chig Okonkwo,WAS,7,TE,182,160,192,0.2,3.9,,191
,AJ Barner,SEA,11,TE,193,188,193,0.03,5.3,,192
,Bryce Young,CAR,5,QB,195,159,194,0.22,4.2,17,193
,Cam Ward,TEN,9,QB,186,145,195,0.34,4,,194
,Jacoby Brissett,ARI,14,QB,215,182,196,0.08,5.7,,195
,Malik Washington,MIA,6,WR,189,169,200,0.18,3.9,,196
,Malik Davis,DAL,14,RB,242,200,201,0.01,7,,197
,Cooper Kupp,SEA,11,WR,218,194,203,0.05,5.7,,198
,Chris Bell,MIA,6,WR,201,209,208,0,5.4,,199
,Emmett Johnson,KC,5,RB,167,164,212,0.29,2,,200
