week,team,opp,home,imp_own,imp_opp,spread,total,dome,kickoff,provider,played
2,PHI,TEN,false,23.2,16.2,-7.0,39.5,false,2026-09-20T13:00,nflverse,true
2,PIT,NE,false,18.5,23.0,4.5,41.5,false,2026-09-20T13:00,nflverse,true
2,SEA,ARI,false,22.0,18.5,-3.5,40.5,true,2026-09-20T16:25,nflverse,true
2,SF,MIA,true,28.5,16.0,-12.5,44.5,false,2026-09-20T16:25,nflverse,true
2,TB,CLE,true,25.0,16.5,-8.5,41.5,false,2026-09-20T13:00,nflverse,true
2,TEN,PHI,true,16.2,23.2,7.0,39.5,false,2026-09-20T13:00,nflverse,true
2,WAS,DAL,false,24.0,27.5,3.5,51.5,true,2026-09-20T16:25,nflverse,true
3,ARI,SF,false,19.5,28.0,8.5,47.5,false,2026-09-27T20:05Z,Draft Kings,false
3,ATL,GB,false,18.8,24.8,6.0,43.5,false,2026-09-25T00:15Z,Draft Kings,false
3,BAL,DAL,false,27.8,24.8,-3.0,52.5,false,2026-09-27T20:25Z,Draft Kings,false
3,BUF,LAC,true,28.8,21.8,-7.0,50.5,false,2026-09-27T17:00Z,Draft Kings,false
3,CAR,CLE,false,22.5,20.0,-2.5,42.5,false,2026-09-27T17:00Z,Draft Kings,false
3,CHI,PHI,true,20.8,23.8,3.0,44.5,false,2026-09-29T00:15Z,Draft Kings,false
3,CIN,PIT,false,23.0,19.5,-3.5,42.5,false,2026-09-27T17:00Z,Draft Kings,false
3,CLE,CAR,true,20.0,22.5,2.5,42.5,false,2026-09-27T17:00Z,Draft Kings,false
3,DAL,BAL,true,24.8,27.8,3.0,52.5,false,2026-09-27T20:25Z,Draft Kings,false
3,DEN,LA,true,21.5,24.0,2.5,45.5,false,2026-09-28T00:20Z,Draft Kings,false
3,DET,NYJ,true,27.5,21.0,-6.5,48.5,true,2026-09-27T17:00Z,Draft Kings,false
3,GB,ATL,true,24.8,18.8,-6.0,43.5,false,2026-09-25T00:15Z,Draft Kings,false
3,HOU,IND,false,23.0,20.5,-2.5,43.5,false,2026-09-27T17:00Z,Draft Kings,false
3,IND,HOU,true,20.5,23.0,2.5,43.5,false,2026-09-27T17:00Z,Draft Kings,false
3,JAX,NE,true,24.2,21.2,-3.0,45.5,false,2026-09-27T17:00Z,Draft Kings,false
3,KC,MIA,false,28.5,17.0,-11.5,45.5,false,2026-09-27T17:00Z,Draft Kings,false
3,LA,DEN,false,24.0,21.5,-2.5,45.5,false,2026-09-28T00:20Z,Draft Kings,false
3,LAC,BUF,false,21.8,28.8,7.0,50.5,false,2026-09-27T17:00Z,Draft Kings,false
3,LV,NO,false,20.2,23.2,3.0,43.5,true,2026-09-27T20:25Z,Draft Kings,false
3,MIA,KC,true,17.0,28.5,11.5,45.5,false,2026-09-27T17:00Z,Draft Kings,false
3,MIN,TB,false,22.0,20.5,-1.5,42.5,false,2026-09-27T20:05Z,Draft Kings,false
3,NE,JAX,false,21.2,24.2,3.0,45.5,false,2026-09-27T17:00Z,Draft Kings,false
3,NO,LV,true,23.2,20.2,-3.0,43.5,true,2026-09-27T20:25Z,Draft Kings,false
3,NYG,TEN,true,22.0,18.5,-3.5,40.5,false,2026-09-27T17:00Z,Draft Kings,false
3,NYJ,DET,false,21.0,27.5,6.5,48.5,true,2026-09-27T17:00Z,Draft Kings,false
3,PHI,CHI,false,23.8,20.8,-3.0,44.5,false,2026-09-29T00:15Z,Draft Kings,false
3,PIT,CIN,true,19.5,23.0,3.5,42.5,false,2026-09-27T17:00Z,Draft Kings,false
3,SEA,WAS,false,23.8,16.8,-7.0,40.5,false,2026-09-27T17:00Z,Draft Kings,false
3,SF,ARI,true,28.0,19.5,-8.5,47.5,false,2026-09-27T20:05Z,Draft Kings,false
3,TB,MIN,true,20.5,22.0,1.5,42.5,false,2026-09-27T20:05Z,Draft Kings,false
3,TEN,NYG,false,18.5,22.0,3.5,40.5,false,2026-09-27T17:00Z,Draft Kings,false
3,WAS,SEA,true,16.8,23.8,7.0,40.5,false,2026-09-27T17:00Z,Draft Kings,false
