player_id,games,team,name,pos,last_week,ep_std,pts_std,ewma_ep_std,last_ep_std,last_pts_std,ep_half,pts_half,ewma_ep_half,last_ep_half,last_pts_half,ep_ppr,pts_ppr,ewma_ep_ppr,last_ep_ppr,last_pts_ppr,ep_std6,pts_std6,ewma_ep_std6,last_ep_std6,last_pts_std6,ep_half6,pts_half6,ewma_ep_half6,last_ep_half6,last_pts_half6,ep_ppr6,pts_ppr6,ewma_ep_ppr6,last_ep_ppr6,last_pts_ppr6,rush_att_pg,tgt_pg,rush_rz_pg,tgt_rz_pg,tgt_ez_pg,air_yds_pg,pass_att_pg,gap_std,gap_half,gap_ppr,gap_std6,gap_half6,gap_ppr6
00-0037248,1,BUF,James Cook,RB,1,9.61442318,6.90000000,12.13228543,9.61442318,6.90000000,11.20701813,8.40000000,13.27603575,11.20701813,8.40000000,12.79961308,9.90000000,14.41978608,12.79961308,9.90000000,9.61665254,6.90000000,12.13754221,9.61665254,6.90000000,11.20924749,8.40000000,13.28129254,11.20924749,8.40000000,12.80184244,9.90000000,14.42504286,12.80184244,9.90000000,13.00000000,4.00000000,2.00000000,1.00000000,0.00000000,-4.00000000,0.00000000,-2.71442318,-2.80701813,-2.89961308,-2.71665254,-2.80924749,-2.90184244
00-0036554,1,HOU,Nico Collins,WR,1,11.91642339,14.20000000,10.60986437,11.91642339,14.20000000,15.00983272,17.70000000,13.26007008,15.00983272,17.70000000,18.10324206,21.20000000,15.91027580,18.10324206,21.20000000,11.92142820,14.20000000,10.61270252,11.92142820,14.20000000,15.01483754,17.70000000,13.26290823,15.01483754,17.70000000,18.10824688,21.20000000,15.91311395,18.10824688,21.20000000,1.00000000,10.00000000,0.00000000,2.00000000,1.00000000,120.00000000,0.00000000,2.28357661,2.69016728,3.09675794,2.27857180,2.68516246,3.09175312
00-0040715,1,NYG,Cam Skattebo,RB,1,13.18189436,14.10000000,12.12635748,13.18189436,14.10000000,13.18426528,14.10000000,13.15378729,13.18426528,14.10000000,13.18663619,14.10000000,14.18121710,13.18663619,14.10000000,13.19130650,14.10000000,12.13214489,13.19130650,14.10000000,13.19367742,14.10000000,13.15957470,13.19367742,14.10000000,13.19604833,14.10000000,14.18700451,13.19604833,14.10000000,18.00000000,0.00000000,4.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.91810564,0.91573472,0.91336381,0.90869350,0.90632258,0.90395167
00-0036358,1,DAL,CeeDee Lamb,WR,1,10.63985950,10.40000000,10.46103024,10.63985950,10.40000000,13.10220070,12.90000000,13.11014654,13.10220070,12.90000000,15.56454190,15.40000000,15.75926284,15.56454190,15.40000000,10.64251452,10.40000000,10.46302111,10.64251452,10.40000000,13.10485572,12.90000000,13.11213741,13.10485572,12.90000000,15.56719692,15.40000000,15.76125371,15.56719692,15.40000000,1.00000000,8.00000000,0.00000000,2.00000000,1.00000000,90.00000000,0.00000000,-0.23985950,-0.20220070,-0.16454190,-0.24251452,-0.20485572,-0.16719692
00-0036322,1,MIN,Justin Jefferson,WR,1,11.75715391,23.20000000,10.16832687,11.75715391,23.20000000,15.01952334,27.20000000,13.02938279,15.01952334,27.20000000,18.28189278,31.20000000,15.89043870,18.28189278,31.20000000,11.75914989,23.20000000,10.17036096,11.75914989,23.20000000,15.02151932,27.20000000,13.03141688,15.02151932,27.20000000,18.28388875,31.20000000,15.89247280,18.28388875,31.20000000,0.00000000,10.00000000,0.00000000,3.00000000,1.00000000,80.00000000,0.00000000,11.44284609,12.18047666,12.91810722,11.44085011,12.17848068,12.91611125
00-0026158,0,CIN,Joe Flacco,QB,,,,12.94982236,,,,,12.95418007,,,,,12.95853778,,,,,15.37229986,,,,,15.37665757,,,,,15.38101528,,,,,,,,,,,,,,,
00-0029263,0,NYG,Russell Wilson,QB,,,,12.75935799,,,,,12.76363146,,,,,12.76790494,,,,,15.12433229,,,,,15.12860577,,,,,15.13287925,,,,,,,,,,,,,,,
00-0040676,1,TEN,Cam Ward,QB,1,12.11601476,11.70000000,12.73514801,12.11601476,11.70000000,12.12161994,11.70000000,12.74031460,12.12161994,11.70000000,12.12722511,11.70000000,12.74548119,12.12722511,11.70000000,13.84223142,13.70000000,14.85671488,13.84223142,13.70000000,13.84783660,13.70000000,14.86188147,13.84783660,13.70000000,13.85344177,13.70000000,14.86704807,13.85344177,13.70000000,4.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,32.00000000,-0.41601476,-0.42161994,-0.42722511,-0.14223142,-0.14783660,-0.15344177
00-0035685,1,HOU,David Montgomery,RB,1,19.50858565,25.90000000,11.84708706,19.50858565,25.90000000,20.65087979,27.40000000,12.67947802,20.65087979,27.40000000,21.79317394,28.90000000,13.51186898,21.79317394,28.90000000,19.51976724,25.90000000,11.85361551,19.51976724,25.90000000,20.66206139,27.40000000,12.68600646,20.66206139,27.40000000,21.80435554,28.90000000,13.51839742,21.80435554,28.90000000,20.00000000,3.00000000,5.00000000,1.00000000,0.00000000,5.00000000,0.00000000,6.39141435,6.74912021,7.10682606,6.38023276,6.73793861,7.09564446
00-0039361,1,TB,Bucky Irving,RB,1,7.96263965,13.30000000,10.55603057,7.96263965,13.30000000,10.92462050,16.80000000,12.51029115,10.92462050,16.80000000,13.88660135,20.30000000,14.46455173,13.88660135,20.30000000,7.96437512,13.30000000,10.56052466,7.96437512,13.30000000,10.92635597,16.80000000,12.51478524,10.92635597,16.80000000,13.88833683,20.30000000,14.46904582,13.88833683,20.30000000,8.00000000,7.00000000,2.00000000,0.00000000,0.00000000,-25.00000000,0.00000000,5.33736035,5.87537950,6.41339865,5.33562488,5.87364403,6.41166317
00-0040398,0,NYJ,Brady Cook,QB,,,,12.23502064,,,,,12.24113614,,,,,12.24725164,,,,,14.42106635,,,,,14.42718185,,,,,14.43329735,,,,,,,,,,,,,,,
00-0029604,1,LV,Kirk Cousins,QB,1,14.24529626,13.80000000,12.04764301,14.24529626,13.80000000,14.25104106,13.80000000,12.05261204,14.25104106,13.80000000,14.25678586,13.80000000,12.05758107,14.25678586,13.80000000,17.16788099,19.80000000,14.48474671,17.16788099,19.80000000,17.17362579,19.80000000,14.48971574,17.17362579,19.80000000,17.17937059,19.80000000,14.49468477,17.17937059,19.80000000,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,30.00000000,-0.44529626,-0.45104106,-0.45678586,2.63211901,2.62637421,2.62062941
00-0037228,1,PIT,Jaylen Warren,RB,1,10.03685488,5.30000000,10.40550515,10.03685488,5.30000000,12.40455774,7.80000000,11.98817965,12.40455774,7.80000000,14.77226059,10.30000000,13.57085415,14.77226059,10.30000000,10.03884822,5.30000000,10.41011310,10.03884822,5.30000000,12.40655108,7.80000000,11.99278760,12.40655108,7.80000000,14.77425393,10.30000000,13.57546210,14.77425393,10.30000000,10.00000000,6.00000000,0.00000000,2.00000000,0.00000000,-6.00000000,0.00000000,-4.73685488,-4.60455774,-4.47226059,-4.73884822,-4.60655108,-4.47425393
00-0040784,1,CLE,Quinshon Judkins,RB,1,9.12354016,5.00000000,10.98084961,9.12354016,5.00000000,9.89768932,6.00000000,11.91345590,9.89768932,6.00000000,10.67183848,7.00000000,12.84606219,10.67183848,7.00000000,9.12801858,5.00000000,10.98677051,9.12801858,5.00000000,9.90216774,6.00000000,11.91937680,9.90216774,6.00000000,10.67631690,7.00000000,12.85198309,10.67631690,7.00000000,12.00000000,2.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,-4.12354016,-3.89768932,-3.67183848,-4.12801858,-3.90216774,-3.67631690
00-0028118,0,NYJ,Tyrod Taylor,QB,,,,11.89567025,,,,,11.90065664,,,,,11.90564302,,,,,13.84676909,,,,,13.85175547,,,,,13.85674186,,,,,,,,,,,,,,,
00-0031381,1,LA,Davante Adams,WR,1,5.80820329,2.60000000,9.69346274,5.80820329,2.60000000,7.68801624,4.10000000,11.85257464,7.68801624,4.10000000,9.56782919,5.60000000,14.01168654,9.56782919,5.60000000,5.80929047,2.60000000,9.69387230,5.80929047,2.60000000,7.68910342,4.10000000,11.85298420,7.68910342,4.10000000,9.56891638,5.60000000,14.01209610,9.56891638,5.60000000,0.00000000,6.00000000,0.00000000,0.00000000,0.00000000,73.00000000,0.00000000,-3.20820329,-3.58801624,-3.96782919,-3.20929047,-3.58910342,-3.96891638
00-0036212,0,MIA,Tua Tagovailoa,QB,,,,11.83082477,,,,,11.83604392,,,,,11.84126307,,,,,14.33637430,,,,,14.34159345,,,,,14.34681259,,,,,,,,,,,,,,,
00-0035640,1,PIT,DK Metcalf,WR,1,13.47642140,4.00000000,9.58472201,13.47642140,4.00000000,15.94080781,6.00000000,11.79146210,15.94080781,6.00000000,18.40519422,8.00000000,13.99820220,18.40519422,8.00000000,13.47907548,4.00000000,9.58742121,13.47907548,4.00000000,15.94346189,6.00000000,11.79416130,15.94346189,6.00000000,18.40784830,8.00000000,14.00090140,18.40784830,8.00000000,0.00000000,10.00000000,0.00000000,0.00000000,1.00000000,204.00000000,0.00000000,-9.47642140,-9.94080781,-10.40519422,-9.47907548,-9.94346189,-10.40784830
00-0030565,1,NYJ,Geno Smith,QB,1,9.75031866,9.30000000,11.78547873,9.75031866,9.30000000,9.75179613,9.30000000,11.78911920,9.75179613,9.30000000,9.75327360,9.30000000,11.79275966,9.75327360,9.30000000,11.15245585,9.30000000,13.79171183,11.15245585,9.30000000,11.15393332,9.30000000,13.79535230,11.15393332,9.30000000,11.15541080,9.30000000,13.79899277,11.15541080,9.30000000,3.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,24.00000000,-0.45031866,-0.45179613,-0.45327360,-1.85245585,-1.85393332,-1.85541080
00-0036900,1,CIN,Ja'Marr Chase,WR,1,3.58645666,1.20000000,8.62560132,3.58645666,1.20000000,4.93115840,2.20000000,11.61257027,4.93115840,2.20000000,6.27586014,3.20000000,14.59953922,6.27586014,3.20000000,3.58813823,1.20000000,8.62853543,3.58813823,1.20000000,4.93283996,2.20000000,11.61550438,4.93283996,2.20000000,6.27754170,3.20000000,14.60247334,6.27754170,3.20000000,0.00000000,4.00000000,0.00000000,1.00000000,0.00000000,34.00000000,0.00000000,-2.38645666,-2.73115840,-3.07586014,-2.38813823,-2.73283996,-3.07754170
00-0036875,1,NE,Rhamondre Stevenson,RB,1,12.51446163,9.50000000,10.09749436,12.51446163,9.50000000,14.90141097,12.00000000,11.55580337,14.90141097,12.00000000,17.28836031,14.50000000,13.01411238,17.28836031,14.50000000,12.51907574,9.50000000,10.10137887,12.51907574,9.50000000,14.90602508,12.00000000,11.55968788,14.90602508,12.00000000,17.29297442,14.50000000,13.01799689,17.29297442,14.50000000,18.00000000,6.00000000,0.00000000,0.00000000,0.00000000,-6.00000000,0.00000000,-3.01446163,-2.90141097,-2.78836031,-3.01907574,-2.90602508,-2.79297442
00-0035228,1,MIN,Kyler Murray,QB,1,3.39920734,-0.38000000,11.50901191,3.39920734,-0.38000000,3.40310366,-0.38000000,11.51467320,3.40310366,-0.38000000,3.40699999,-0.38000000,11.52033450,3.40699999,-0.38000000,3.94419463,-0.38000000,13.23395976,3.94419463,-0.38000000,3.94809096,-0.38000000,13.23962105,3.94809096,-0.38000000,3.95198728,-0.38000000,13.24528235,3.95198728,-0.38000000,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,5.00000000,-3.77920734,-3.78310366,-3.78699999,-4.32419463,-4.32809096,-4.33198728
00-0031408,1,SF,Mike Evans,WR,1,7.99395708,10.90000000,8.91740740,7.99395708,10.90000000,10.28635602,13.90000000,11.19988846,10.28635602,13.90000000,12.57875497,16.90000000,13.48236953,12.57875497,16.90000000,7.99504812,10.90000000,8.91847959,7.99504812,10.90000000,10.28744707,13.90000000,11.20096066,10.28744707,13.90000000,12.57984601,16.90000000,13.48344173,12.57984601,16.90000000,0.00000000,7.00000000,0.00000000,2.00000000,1.00000000,55.00000000,0.00000000,2.90604292,3.61364398,4.32124503,2.90495188,3.61255293,4.32015399
00-0039338,0,LV,Brock Bowers,TE,,,,8.60517394,,,,,11.11443437,,,,,13.62369479,,,,,8.61161028,,,,,11.12087071,,,,,13.63013113,,,,,,,,,,,,,,,
00-0038128,1,MIA,Malik Willis,QB,1,13.80839174,16.70000000,11.10104626,13.80839174,16.70000000,13.81014240,16.70000000,11.10463550,13.81014240,16.70000000,13.81189306,16.70000000,11.10822474,13.81189306,16.70000000,15.65830541,16.70000000,12.63184316,15.65830541,16.70000000,15.66005607,16.70000000,12.63543240,15.66005607,16.70000000,15.66180673,16.70000000,12.63902163,15.66180673,16.70000000,6.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,27.00000000,2.89160826,2.88985760,2.88810694,1.04169459,1.03994393,1.03819327
