season,week,player_id,name,position,team,air_yds,pass_air_yds,pass_att,pass_i10,pass_rz,rush_att,rush_i10,rush_i5,rush_rz,tgt,tgt_deep,tgt_ez,tgt_i10,tgt_rz,ep_std,pts_std,ewma_ep_pre_std,ewma_ep_std,ep_half,pts_half,ewma_ep_pre_half,ewma_ep_half,ep_ppr,pts_ppr,ewma_ep_pre_ppr,ewma_ep_ppr,ep_std6,pts_std6,ewma_ep_pre_std6,ewma_ep_std6,ep_half6,pts_half6,ewma_ep_pre_half6,ewma_ep_half6,ep_ppr6,pts_ppr6,ewma_ep_pre_ppr6,ewma_ep_ppr6,seeded_from_prior,passing_tds
2026,1,00-0023459,Aaron Rodgers,QB,PIT,0.00000000,407.00000000,40.00000000,3.00000000,5.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,17.25633375,12.54000000,12.91456259,14.43418250,17.26080874,12.54000000,12.92009532,14.43934502,17.26528373,12.54000000,12.92562805,14.44450754,21.12422806,14.54000000,15.59495296,17.53019924,21.12870304,14.54000000,15.60048569,17.53536176,21.13317803,14.54000000,15.60601842,17.54052428,true,1
2026,2,00-0023459,Aaron Rodgers,QB,PIT,0.00000000,209.00000000,39.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,10.60558243,3.98000000,14.43418250,13.09417248,10.60948433,3.98000000,14.43934502,13.09889378,10.61338622,3.98000000,14.44450754,13.10361508,12.18038246,3.98000000,17.53019924,15.65776337,12.18428436,3.98000000,17.53536176,15.66248467,12.18818625,3.98000000,17.54052428,15.66720597,true,0
2026,1,00-0026498,Matthew Stafford,QB,LA,0.00000000,232.00000000,25.00000000,2.00000000,2.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,13.44747617,4.10000000,16.82398971,15.64220997,13.45003099,4.10000000,16.82954532,15.64671531,13.45258580,4.10000000,16.83510094,15.65122064,15.62841271,4.10000000,20.59715784,18.85809704,15.63096752,4.10000000,20.60271346,18.86260238,15.63352234,4.10000000,20.60826907,18.86710771,true,0
2026,2,00-0026498,Matthew Stafford,QB,LA,0.00000000,331.00000000,30.00000000,3.00000000,4.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,14.82203959,26.98000000,15.64220997,15.35515034,14.82697258,26.98000000,15.64671531,15.35980535,14.83190557,26.98000000,15.65122064,15.36446037,18.15926181,34.98000000,18.85809704,18.61350471,18.16419480,34.98000000,18.86260238,18.61815972,18.16912778,34.98000000,18.86710771,18.62281474,true,4
2026,1,00-0029604,Kirk Cousins,QB,LV,0.00000000,226.00000000,30.00000000,1.00000000,8.00000000,2.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,14.24529626,13.80000000,10.86429127,12.04764301,14.25104106,13.80000000,10.86884257,12.05261204,14.25678586,13.80000000,10.87339387,12.05758107,17.16788099,19.80000000,13.03998211,14.48474671,17.17362579,19.80000000,13.04453341,14.48971574,17.17937059,19.80000000,13.04908471,14.49468477,true,3
2026,2,00-0029604,Kirk Cousins,QB,LV,0.00000000,283.00000000,29.00000000,0.00000000,3.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,11.44761788,20.22000000,12.04764301,11.83763422,11.45066206,20.22000000,12.05261204,11.84192955,11.45370624,20.22000000,12.05758107,11.84622488,13.63024796,26.22000000,14.48474671,14.18567215,13.63329214,26.22000000,14.48971574,14.18996748,13.63633632,26.22000000,14.49468477,14.19426281,true,3
2026,1,00-0030279,Keenan Allen,WR,IND,22.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,6.00000000,0.00000000,0.00000000,1.00000000,1.00000000,5.25997017,3.20000000,7.21961058,6.53373643,7.44004553,6.20000000,9.58765301,8.83599039,9.62012088,9.20000000,11.95569545,11.13824435,5.26220269,3.20000000,7.22204460,6.53609993,7.44227805,6.20000000,9.59008703,8.83835389,9.62235341,9.20000000,11.95812947,11.14060784,true,0
2026,2,00-0030279,Keenan Allen,WR,IND,31.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,5.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.81136079,0.50000000,6.53373643,5.58090496,5.58263725,1.00000000,8.83599039,7.69731679,7.35391370,1.50000000,11.13824435,9.81372862,3.81317237,0.50000000,6.53609993,5.58307528,5.58444882,1.00000000,8.83835389,7.69948711,7.35572528,1.50000000,11.14060784,9.81589895,true,0
2026,1,00-0030506,Travis Kelce,TE,KC,29.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,5.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.76684328,7.10000000,6.22312231,5.36342465,5.61002362,8.60000000,8.48375987,7.47795219,7.45320397,10.10000000,10.74439743,9.59247972,3.76363107,7.10000000,6.22356916,5.36259083,5.60681142,8.60000000,8.48420672,7.47711836,7.44999176,10.10000000,10.74484428,9.59164590,true,0
2026,2,00-0030506,Travis Kelce,TE,KC,56.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,11.00000000,1.00000000,0.00000000,0.00000000,1.00000000,8.48204292,16.10000000,5.36342465,6.45494104,12.54011031,20.60000000,7.47795219,9.24970753,16.59817771,25.10000000,9.59247972,12.04447402,8.47653384,16.10000000,5.36259083,6.45247088,12.53460124,20.60000000,7.47711836,9.24723737,16.59266864,25.10000000,9.59164590,12.04200386,true,0
