team,week,player,position,injury,mon,tue,wed,thu,fri,sat,sun,practice_days,game_status,page_team,source,source_kind,published_at
NYJ,3,Kene Nwangwu,RB,Back,"","",DNP,"","","","","wed,thu,fri","",DET,https://www.detroitlions.com/team/injury-report/week/REG-3,club_grid,""
NYJ,3,Mason Taylor,TE,Thumb,"","",DNP,"","","","","wed,thu,fri","",DET,https://www.detroitlions.com/team/injury-report/week/REG-3,club_grid,""
