team,week,player,position,injury,mon,tue,wed,thu,fri,sat,sun,practice_days,game_status,page_team,source,source_kind,published_at
LV,3,Aidan O'Connell,QB,NIR-Personal,"","",DNP,"","","","","wed,thu,fri","",NO,https://www.neworleanssaints.com/team/injury-report/week/REG-3,club_grid,""
LV,3,Brock Bowers,TE,Knee,"","",LP,"","","","","wed,thu,fri","",NO,https://www.neworleanssaints.com/team/injury-report/week/REG-3,club_grid,""
LV,3,Dareke Young,WR,Hamstring,"","",LP,"","","","","wed,thu,fri","",NO,https://www.neworleanssaints.com/team/injury-report/week/REG-3,club_grid,""
NO,3,Travis Etienne,RB,Hamstring,"","",LP,"","","","","wed,thu,fri","",NO,https://www.neworleanssaints.com/team/injury-report/week/REG-3,club_grid,""
