season,week,game_id,player_id,team,name,position,opportunities,rush_att,tgt,team_targets,target_share,receptions,rushing_yards,receiving_yards,air_yds,air_yards_known_targets,tgt_rz,tgt_rz_lt20,tgt_ez,ftn_catchable_targets,ftn_drops,ftn_catchable_known_targets,ftn_drop_known_targets,ftn_target_coverage,pfr_carries,pfr_yards_before_contact,pfr_status
2026,1,2026_01_ATL_PIT,00-0023459,PIT,Aaron Rodgers,QB,0.00000000,0.00000000,0.00000000,37.00000000,0.00000000,0,-3,0,0.00000000,0,0.00000000,0,0.00000000,,,0,0,,3.00000000,,carry_mismatch
2026,1,2026_01_SF_LA,00-0026498,LA,Matthew Stafford,QB,1.00000000,1.00000000,0.00000000,27.00000000,0.00000000,0,-1,0,0.00000000,0,0.00000000,0,0.00000000,,,0,0,,2.00000000,,carry_mismatch
2026,1,2026_01_MIA_LV,00-0029604,LV,Kirk Cousins,QB,2.00000000,2.00000000,0.00000000,29.00000000,0.00000000,0,-6,0,0.00000000,0,0.00000000,0,0.00000000,,,0,0,,5.00000000,,carry_mismatch
2026,1,2026_01_NYJ_TEN,00-0030565,NYJ,Geno Smith,QB,3.00000000,3.00000000,0.00000000,23.00000000,0.00000000,0,7,0,0.00000000,0,0.00000000,0,0.00000000,,,0,0,,6.00000000,,carry_mismatch
2026,1,2026_01_GB_MIN,00-0032950,MIN,Carson Wentz,QB,2.00000000,2.00000000,0.00000000,24.00000000,0.00000000,0,-1,0,0.00000000,0,0.00000000,0,0.00000000,,,0,0,,5.00000000,,carry_mismatch
2026,1,2026_01_DAL_NYG,00-0033077,DAL,Dak Prescott,QB,2.00000000,2.00000000,0.00000000,30.00000000,0.00000000,0,14,0,0.00000000,0,0.00000000,0,0.00000000,,,0,0,,2.00000000,10.00000000,available
2026,1,2026_01_NO_DET,00-0033106,DET,Jared Goff,QB,2.00000000,2.00000000,0.00000000,39.00000000,0.00000000,0,2,0,0.00000000,0,0.00000000,0,0.00000000,,,0,0,,2.00000000,2.00000000,available
2026,1,2026_01_ARI_LAC,00-0033119,ARI,Jacoby Brissett,QB,3.00000000,3.00000000,0.00000000,37.00000000,0.00000000,0,14,0,0.00000000,0,0.00000000,0,0.00000000,,,0,0,,6.00000000,,carry_mismatch
2026,1,2026_01_CLE_JAX,00-0033537,CLE,Deshaun Watson,QB,6.00000000,6.00000000,0.00000000,22.00000000,0.00000000,0,38,0,0.00000000,0,0.00000000,0,0.00000000,,,0,0,,6.00000000,26.00000000,available
2026,1,2026_01_ATL_PIT,00-0033662,ATL,Cooper Rush,QB,0.00000000,0.00000000,0.00000000,19.00000000,0.00000000,0,0,0,0.00000000,0,0.00000000,0,0.00000000,,,0,0,,,,unavailable
