,Name,Team,BYE,Pos,ADP,FantasyPros,ESPN,ESPNvFP,Landmine,Round,Pick
,Tank Dell,HOU,8,WR,213,196,165,-0.16,8.5,,162
,Tyjae Spears,TEN,9,RB,152,151,166,0.1,4.8,,163
,Braelon Allen,NYJ,13,RB,151,141,167,0.18,3.9,,164
,Keaton Mitchell,LAC,7,RB,157,146,168,0.15,4.3,,165
,Juwan Johnson,NO,8,TE,158,140,170,0.21,3.9,,166
,James Conner,ARI,14,RB,156,172,171,-0.01,5.2,,167
,Justice Hill,BAL,13,RB,229,225,172,-0.24,9.6,,168
,Jordan Love,GB,11,QB,159,122,174,0.43,3,15,169
,Cam Ward,TEN,9,QB,183,153,175,0.14,5.1,,170
,C.J. Stroud,HOU,8,QB,172,132,176,0.33,3.7,,171
,Darnell Mooney,NYG,8,WR,182,178,177,-0.01,5.7,,172
,Stefon Diggs,FA,-,WR,170,166,178,0.07,4.8,,173
,Deebo Samuel,SF,8,WR,188,160,179,0.12,5.1,,174
,Tre' Harris,LAC,7,WR,192,173,180,0.04,5.6,,175
,Ryan Flournoy,DAL,14,WR,205,167,181,0.08,5.9,,176
,Pat Freiermuth,PIT,9,TE,234,208,182,-0.13,8.4,,177
,Dalton Schultz,HOU,8,TE,175,179,183,0.02,5.2,,178
,Jaylin Noel,HOU,8,WR,179,175,184,0.05,5,,179
,Isaac TeSlaa,DET,6,WR,196,169,187,0.11,5.2,,180
,Jonah Coleman,DEN,10,RB,120,168,188,0.12,2.2,16,181
,Kaytron Allen,WAS,7,RB,162,204,190,-0.07,5,,182
,AJ Barner,SEA,11,TE,187,171,191,0.12,4.6,,183
,Gunnar Helm,TEN,9,TE,208,199,192,-0.04,6.2,,184
,Chig Okonkwo,WAS,7,TE,195,177,193,0.09,5,,185
,Sam Darnold,SEA,11,QB,184,144,194,0.35,3.6,,186
,Bryce Young,CAR,5,QB,203,156,195,0.25,4.7,,187
,Nicholas Singleton,TEN,9,RB,164,201,197,-0.02,4.6,,188
,Kimani Vidal,LAC,7,RB,197,164,199,0.21,4.1,,189
,Jaylen Wright,MIA,6,RB,214,176,201,0.14,5.1,,190
,Ollie Gordon,MIA,6,RB,247,207,202,-0.02,7.4,,191
,Malik Washington,MIA,6,WR,243,218,203,-0.07,7.6,,192
,Cooper Kupp,SEA,11,WR,222,217,205,-0.06,6.6,17,193
,Kayshon Boutte,NE,11,WR,215,157,207,0.32,3.9,,194
,Brandon Aiyuk,SF,8,WR,206,189,208,0.1,4.7,,195
,MarShawn Lloyd,GB,11,RB,242,212,214,0.01,6.5,,196
,Jaydon Blue,DAL,14,RB,228,219,215,-0.02,6.1,,197
