Player,Team,POS,Average_ADP,Depth,Depth_Rank
Tank Bigsby,JAC,RB42,122.0,RB2,2
Jake Ferguson,DAL,TE14,123.0,TE1,1
Rachaad White,TB,RB43,123.5,RB2,2
Jayden Higgins,HOU,WR52,124.5,WR2,2
Dalton Kincaid,BUF,TE15,127.5,TE1,1
Jaydon Blue,DAL,RB44,128.5,RB2,2
Keon Coleman,BUF,WR53,128.5,WR2,2
Jordan Love,GB,QB16,128.5,QB1,1
Drake Maye,NE,QB17,128.5,QB1,1
C.J. Stroud,HOU,QB18,129.5,QB1,1
J.J. McCarthy,MIN,QB19,133.0,QB1,1
Jerome Ford,CLE,RB45,133.5,RB2,2
Austin Ekeler,WAS,RB47,133.5,RB2,2
Isaac Guerendo,SF,RB46,133.5,RB2,2
Tre' Harris,LAC,WR54,134.0,WR2,2
Marvin Mims,DEN,WR55,136.0,WR2,2
Bhayshul Tuten,JAC,RB48,136.5,RB3,3
Dallas Goedert,PHI,TE16,137.5,TE1,1
Ray Davis,BUF,RB49,138.5,RB2,2
Kyle Pitts,ATL,TE17,139.5,TE1,1
Rico Dowdle,CAR,RB50,140.5,RB2,2
Trevor Lawrence,JAC,QB20,141.5,QB1,1
Trey Benson,ARI,RB51,142.0,RB2,2
Rashid Shaheed,NO,WR56,144.0,WR2,2
Luther Burden,CHI,WR57,145.0,WR3,3
Nick Chubb,HOU,RB52,147.0,RB2,2
Christian Kirk,HOU,WR58,148.0,WR3,3
Tyler Allgeier,ATL,RB53,149.0,RB2,2
Jack Bech,LV,WR59,150.0,WR2,2
Marquise Brown,KC,WR60,150.5,WR3,3
Tua Tagovailoa,MIA,QB21,153.0,QB1,1
Hunter Henry,NE,TE18,154.0,TE1,1
Dylan Sampson,CLE,RB54,157.0,RB3,3
Braelon Allen,NYJ,RB55,157.5,RB2,2
Denver Broncos,DST,DST1,158.5,DST1,1
Isaiah Likely,BAL,TE19,160.0,TE2,2
Michael Penix,ATL,QB22,161.0,QB1,1
Zach Ertz,WAS,TE20,161.5,TE1,1
Matthew Stafford,LAR,QB23,161.5,QB1,1
Jalen McMillan,TB,WR61,162.0,WR4,4
Jaylen Wright,MIA,RB56,162.0,RB2,2
Kyle Williams,NE,WR62,162.0,WR2,2
Philadelphia Eagles,DST,DST2,162.5,DST2,2
Bryce Young,CAR,QB24,163.0,QB1,1
Cameron Ward,TEN,QB25,164.0,QB1,1
DeAndre Hopkins,BAL,WR64,168.5,WR2,2
Rashod Bateman,BAL,WR63,168.5,WR3,3
Brenton Strange,JAC,TE21,171.0,TE1,1
Pittsburgh Steelers,DST,DST3,174.0,DST3,3
Geno Smith,LV,QB26,175.0,QB1,1
Cedric Tillman,CLE,WR65,175.5,WR2,2
Xavier Legette,CAR,WR66,176.0,WR2,2
Mason Taylor,NYJ,TE22,176.0,TE1,1
Cade Otton,TB,TE23,176.5,TE1,1
Roschon Johnson,CHI,RB57,178.5,RB2,2
Sam Darnold,SEA,QB27,180.0,QB1,1
Aaron Rodgers,PIT,QB28,181.5,QB1,1
Justice Hill,BAL,RB58,182.0,RB2,2
Adam Thielen,CAR,WR67,183.0,WR3,3
Anthony Richardson,IND,QB29,184.0,QB1,1
Wan'Dale Robinson,NYG,WR68,184.0,WR2,2
Mike Gesicki,CIN,TE24,184.5,TE1,1
Quentin Johnston,LAC,WR69,184.5,WR3,3
Minnesota Vikings,DST,DST4,186.0,DST4,4
Keenan Allen,,WR70,188.5,NO TEAM,0
Brandon Aubrey,DAL,K1,188.5,K1,1
Kyle Monangai,CHI,RB59,189.5,RB3,3
Romeo Doubs,GB,WR71,191.5,WR3,3
Pat Freiermuth,PIT,TE25,192.0,TE2,2
Baltimore Ravens,DST,DST5,193.0,DST5,5
Houston Texans,DST,DST6,194.0,DST6,6
Kareem Hunt,KC,RB60,196.0,RB2,2
DeMario Douglas,NE,WR72,196.0,WR3,3
Blake Corum,LAR,RB61,197.0,RB2,2
Joshua Palmer,BUF,WR73,197.5,WR3,3
Russell Wilson,NYG,QB30,198.5,QB1,1
Chig Okonkwo,TEN,TE26,198.5,TE1,1
MarShawn Lloyd,GB,RB62,198.5,RB2,2
Cameron Dicker,LAC,K2,201.0,K1,1
Jarquez Hunter,LAR,RB63,201.0,RB3,3
Brashard Smith,KC,RB64,204.5,RB3,3
DJ Giddens,IND,RB65,206.0,RB2,2
Alec Pierce,IND,WR74,206.0,WR3,3
Dalton Schultz,HOU,TE27,206.5,TE1,1
Buffalo Bills,DST,DST7,207.5,DST7,7
San Francisco 49ers,DST,DST8,208.5,DST8,8
Devin Neal,NO,RB66,209.0,RB2,2
Kansas City Chiefs,DST,DST9,211.0,DST9,9
Miles Sanders,DAL,RB67,212.0,RB3,3
Jake Bates,DET,K3,212.0,K1,1
Ka'imi Fairbairn,HOU,K4,214.0,K1,1
Detroit Lions,DST,DST10,217.5,DST10,10
Will Shipley,PHI,RB68,218.5,RB2,2
Elijah Arroyo,SEA,TE28,220.0,TE1,1
Tyler Shough,NO,QB31,221.5,QB1,1
Washington Commanders,DST,DST11,222.0,DST11,11
Darren Waller,MIA,TE29,222.5,TE1,1
Pat Bryant,DEN,WR75,223.5,WR3,3
Jaxson Dart,NYG,QB32,224.0,QB2,2
Shedeur Sanders,CLE,QB33,225.5,QB1,1
Tampa Bay Buccaneers,DST,DST12,226.0,DST12,12
Daniel Jones,IND,QB34,227.0,QB2,2
Harrison Butker,KC,K5,227.0,K1,1
Jalen Royals,KC,WR76,227.0,WR4,4
Jaleel McLaughlin,DEN,RB69,228.0,RB3,3
Woody Marks,HOU,RB70,229.5,RB3,3
Jaylin Noel,HOU,WR77,230.5,WR4,4
Juwan Johnson,NO,TE30,236.5,TE1,1
Terrance Ferguson,LAR,TE31,237.0,TE1,1
Tyler Bass,BUF,K6,237.5,K1,1
A.J. Dillon,PHI,RB81,238.0,RB3,3
Brandon McManus,GB,K14,239.0,K1,1
Tahj Brooks,CIN,RB71,239.5,RB2,2
Alexander Mattison,MIA,RB82,240.0,RB3,3
Tennessee Titans,DST,DST21,240.0,DST13,13
Amari Cooper,,WR78,240.5,NO TEAM,0
Luke McCaffrey,WAS,WR91,242.0,WR3,3
Jalen Coker,CAR,WR92,242.0,WR4,4
Chase McLaughlin,TB,K7,242.5,K1,1
