Player,Team,POS,Average_ADP,Depth,ESPN_ADP
Jaydon Blue,DAL,RB43,125,RB2,133
Jayden Higgins,HOU,WR53,125.5,WR2,112
Rachaad White,TB,RB44,126,RB2,131
Dalton Kincaid,BUF,TE15,127,TE1,129
C.J. Stroud,HOU,QB17,129,QB1,145
Austin Ekeler,WAS,RB45,131.5,RB1,114
Jordan Love,GB,QB18,131.5,QB1,122
J.J. McCarthy,MIN,QB19,135,QB1,124
Bhayshul Tuten,JAC,RB46,135,RB3,149
Jerome Ford,CLE,RB47,136,RB2,148
Marvin Mims,DEN,WR54,136,WR2,153
Trey Benson,ARI,RB48,136.5,RB2,130
Kyle Pitts,ATL,TE16,137.5,TE1,128
Rashid Shaheed,NO,WR55,139.5,WR2,111
Trevor Lawrence,JAC,QB20,140,QB1,174
Dallas Goedert,PHI,TE17,140.5,TE1,127
Rico Dowdle,CAR,RB49,140.5,RB2,199
Isaac Guerendo,SF,RB51,141,RB3,150
Luther Burden,CHI,WR56,141,WR3,157
Ray Davis,BUF,RB50,141,RB2,151
Christian Kirk,HOU,WR57,144.5,WR3,154
Tre' Harris,LAC,WR58,145,WR2,158
Braelon Allen,NYJ,RB52,146,RB2,146
Tyler Allgeier,ATL,RB53,149,RB2,134
Nick Chubb,HOU,RB54,150.5,RB2,161
Tua Tagovailoa,MIA,QB21,152.5,QB1,143
Hunter Henry,NE,TE18,154.5,TE1,141
Marquise Brown,KC,WR59,154.5,WR3,139
Keenan Allen,LAC,WR60,156,WR3,109
Dylan Sampson,CLE,RB55,158,RB3,188
Zach Ertz,WAS,TE19,159,TE1,165
Denver Broncos,DST,DST1,159.5,DST1,
Philadelphia Eagles,DST,DST2,161,DST2,
Jack Bech,LV,WR61,162,WR2,163
Bryce Young,CAR,QB22,163,QB1,194
Jaylen Wright,MIA,RB56,163.5,RB2,135
Michael Penix,ATL,QB23,163.5,QB1,176
Cam Ward,TEN,QB24,164.5,QB1,175
Matthew Stafford,LAR,QB25,168,QB1,144
Rashod Bateman,BAL,WR62,169.5,WR2,155
DeAndre Hopkins,BAL,WR63,170,WR3,181
Brenton Strange,JAC,TE20,171,TE1,182
Cedric Tillman,CLE,WR64,171.5,WR2,138
Jalen McMillan,TB,WR65,172,WR4,232
Pittsburgh Steelers,DST,DST3,172,DST3,
Kyle Williams,NE,WR66,173.5,WR2,164
Geno Smith,LV,QB26,175.5,QB1,195
Cade Otton,TB,TE21,176,TE1,168
Isaiah Likely,BAL,TE22,176.5,TE2,193
Adam Thielen,CAR,WR67,176.5,WR2,136
Wan'Dale Robinson,NYG,WR68,177.5,WR2,152
Minnesota Vikings,DST,DST4,178.5,DST4,
Sam Darnold,SEA,QB27,180.5,QB1,196
Kyle Monangai,CHI,RB57,181,RB2,217
Mason Taylor,NYJ,TE23,182.5,TE1,191
Xavier Legette,CAR,WR69,182.5,WR3,137
DeMario Douglas,NE,WR70,184,WR3,156
Justice Hill,BAL,RB58,184.5,RB2,162
Joshua Palmer,BUF,WR71,186.5,WR3,177
Aaron Rodgers,PIT,QB28,187.5,QB1,236
Anthony Richardson,IND,QB29,188.5,QB1,
Romeo Doubs,GB,WR72,188.5,WR3,169
Baltimore Ravens,DST,DST5,189,DST5,
Chig Okonkwo,TEN,TE24,191.5,TE1,183
Houston Texans,DST,DST6,192,DST6,
Roschon Johnson,CHI,RB59,193,RB3,172
Brandon Aubrey,DAL,K1,193.5,K1,
Kareem Hunt,KC,RB60,197.5,RB2,190
Mike Gesicki,CIN,TE25,198,TE1,228
Blake Corum,LAR,RB61,198,RB2,197
San Francisco 49ers,DST,DST7,198,DST7,
Pat Freiermuth,PIT,TE26,198.5,TE2,192
Cameron Dicker,LAC,K2,202.5,K1,
Alec Pierce,IND,WR73,207,WR3,239
Jarquez Hunter,LAR,RB62,207.5,RB3,234
Buffalo Bills,DST,DST8,208,DST8,
Kansas City Chiefs,DST,DST9,208,DST9,
Russell Wilson,NYG,QB30,208.5,QB1,237
Dalton Schultz,HOU,TE27,208.5,TE1,227
Jake Bates,DET,K3,209,K1,
Will Shipley,PHI,RB63,209.5,RB2,160
Detroit Lions,DST,DST10,209.5,DST10,
Quentin Johnston,LAC,WR74,212.5,WR4,185
Ka'imi Fairbairn,HOU,K4,212.5,K1,
Chris Rodriguez,WAS,RB78,213,RB2,
DJ Giddens,IND,RB64,213.5,RB2,202
Pat Bryant,DEN,WR75,214,WR3,184
Jacory Croskey-Merritt,WAS,RB65,214,RB3,120
Brashard Smith,KC,RB66,215,RB3,
MarShawn Lloyd,GB,RB67,215.5,RB2,171
Woody Marks,HOU,RB68,216,RB3,189
Jaxson Dart,NYG,QB31,218.5,QB2,
Washington Commanders,DST,DST11,222,DST11,
Elijah Arroyo,SEA,TE28,223,TE1,226
Harrison Butker,KC,K5,223,K1,
Ja'Tavion Sanders,CAR,TE29,225,TE1,256
Ollie Gordon,MIA,RB69,225,RB3,218
Tyler Shough,NO,QB32,226,QB1,
Daniel Jones,IND,QB33,226.5,QB2,235
Miles Sanders,DAL,RB70,226.5,RB3,201
Shedeur Sanders,CLE,QB34,230.5,QB1,
Darren Waller,MIA,TE30,230.5,TE1,
Brandon McManus,GB,K14,231,K1,
Tahj Brooks,CIN,RB71,232,RB2,250
Sean Tucker,TB,RB82,233,RB3,219
Keaton Mitchell,BAL,RB72,233.5,RB3,221
Chase McLaughlin,TB,K6,238,K1,
Jaylin Noel,HOU,WR76,238.5,WR4,305
Cam Little,JAC,K15,239,K1,
Los Angeles Rams,DST,DST12,239,DST12,
Tennessee Titans,DST,DST20,240,DST13,
Spencer Rattler,NO,QB38,241,QB2,
Tyler Bass,BUF,K7,242.5,K1,
Jalen Royals,KC,WR77,242.5,WR4,369
Ray-Ray McCloud,ATL,WR91,243,WR3,
Juwan Johnson,NO,TE31,244,TE1,255
Dont'e Thornton,LV,WR78,244,WR3,
Devin Neal,NO,RB73,244.5,RB2,222
New York Giants,DST,DST13,245,DST14,
Cole Kmet,CHI,TE32,245.5,TE2,287
Michael Wilson,ARI,WR79,246,WR2,159
Tampa Bay Buccaneers,DST,DST14,246.5,DST15,
A.J. Dillon,PHI,RB84,247,RB3,
Arizona Cardinals,DST,DST22,248,DST16,
Joe Flacco,CLE,QB35,248,QB2,
Chris Boswell,PIT,K8,248,K1,
Evan McPherson,CIN,K9,248.5,K1,
Adonai Mitchell,IND,WR81,251,WR4,187
Darius Slayton,NYG,WR82,251.5,WR3,180
Jake Elliott,PHI,K10,251.5,K1,
