Player,Team,POS,Average_ADP,Depth,Depth_Rank
Tank Bigsby,JAC,RB42,120.5,RB2,2
Keon Coleman,BUF,WR52,120.5,WR2,2
Drake Maye,NE,QB16,124.5,QB1,1
Jake Ferguson,DAL,TE14,124.5,TE1,1
Jaydon Blue,DAL,RB43,125.0,RB2,2
Jayden Higgins,HOU,WR53,125.5,WR2,2
Rachaad White,TB,RB44,126.0,RB2,2
Dalton Kincaid,BUF,TE15,127.0,TE1,1
C.J. Stroud,HOU,QB17,129.0,QB1,1
Austin Ekeler,WAS,RB45,131.5,RB1,1
Jordan Love,GB,QB18,131.5,QB1,1
J.J. McCarthy,MIN,QB19,135.0,QB1,1
Bhayshul Tuten,JAC,RB46,135.0,RB3,3
Jerome Ford,CLE,RB47,136.0,RB2,2
Marvin Mims,DEN,WR54,136.0,WR2,2
Trey Benson,ARI,RB48,136.5,RB2,2
Kyle Pitts,ATL,TE16,137.5,TE1,1
Rashid Shaheed,NO,WR55,139.5,WR2,2
Trevor Lawrence,JAC,QB20,140.0,QB1,1
Dallas Goedert,PHI,TE17,140.5,TE1,1
Rico Dowdle,CAR,RB49,140.5,RB2,2
Isaac Guerendo,SF,RB51,141.0,RB3,3
Luther Burden,CHI,WR56,141.0,WR3,3
Ray Davis,BUF,RB50,141.0,RB2,2
Christian Kirk,HOU,WR57,144.5,WR3,3
Tre' Harris,LAC,WR58,145.0,WR2,2
Braelon Allen,NYJ,RB52,146.0,RB2,2
Tyler Allgeier,ATL,RB53,149.0,RB2,2
Nick Chubb,HOU,RB54,150.5,RB2,2
Tua Tagovailoa,MIA,QB21,152.5,QB1,1
Hunter Henry,NE,TE18,154.5,TE1,1
Marquise Brown,KC,WR59,154.5,WR3,3
Keenan Allen,LAC,WR60,156.0,WR3,3
Dylan Sampson,CLE,RB55,158.0,RB3,3
Zach Ertz,WAS,TE19,159.0,TE1,1
Denver Broncos,DST,DST1,159.5,DST1,1
Philadelphia Eagles,DST,DST2,161.0,DST2,2
Jack Bech,LV,WR61,162.0,WR2,2
Bryce Young,CAR,QB22,163.0,QB1,1
Jaylen Wright,MIA,RB56,163.5,RB2,2
Michael Penix,ATL,QB23,163.5,QB1,1
Cam Ward,TEN,QB24,164.5,QB1,1
Matthew Stafford,LAR,QB25,168.0,QB1,1
Rashod Bateman,BAL,WR62,169.5,WR2,2
DeAndre Hopkins,BAL,WR63,170.0,WR3,3
Brenton Strange,JAC,TE20,171.0,TE1,1
Cedric Tillman,CLE,WR64,171.5,WR2,2
